회사명,직무명,링크
㈜비주얼라이트,게임개발(클라이언트) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45543495?rPageCode=SL&logpath=21&sn=6
㈜스윙크,병역특례 - 유니티/cocos creator 보충역 4급 (산업기능요원),https://www.jobkorea.co.kr/Recruit/GI_Read/45540660?rPageCode=SL&logpath=21&sn=6
㈜위치스,"(주)위치스 콘텐츠 게임엔진 개발자 모집공고 (Unity, Unreal)",https://www.jobkorea.co.kr/Recruit/GI_Read/45538805?rPageCode=SL&logpath=21&sn=6
고브이알,[주식회사 고브이알] 언리얼(Unreal ) 강사 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45538795?rPageCode=SL&logpath=21&sn=6
㈜서커스컴퍼니,UNITY AR/VR 개발,https://www.jobkorea.co.kr/Recruit/GI_Read/45538004?rPageCode=SL&logpath=21&sn=6
㈜다인리더스,"(주)다인리더스 유니티 클라이언트, 서버 개발자 신입 및 경력 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45493876?rPageCode=SL&logpath=21&sn=6
에쓰오씨소프트㈜,데이터 분석,https://www.jobkorea.co.kr/Recruit/GI_Read/45536676?rPageCode=SL&logpath=21&sn=6
㈜XOsoft,유니티 개발 신입/경력 모집합니다(정규직),https://www.jobkorea.co.kr/Recruit/GI_Read/45536078?rPageCode=SL&logpath=21&sn=6
㈜케이엘피,유니티(Unity) 프론트엔드 개발자 모십니다,https://www.jobkorea.co.kr/Recruit/GI_Read/45536064?rPageCode=SL&logpath=21&sn=6
㈜케이엘피,파이썬(Python) 백엔드 개발자 모십니다,https://www.jobkorea.co.kr/Recruit/GI_Read/45536057?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[프라시아 전기] 주니어 서버 프로그래머,https://www.jobkorea.co.kr/Recruit/GI_Read/45535852?rPageCode=SL&logpath=21&sn=6
㈜에이치엔아이엑스,[HNIX]사업개발팀 3D저작툴 솔루션 개발 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45533758?rPageCode=SL&logpath=21&sn=6
엠비씨(MBC)아카데미 컴퓨터교육센터,[서울/경기]100프로 무료 취업교육생모집 (UI.UX웹디자인&퍼블리셔/웹개발/게임/빅데이터/영상),https://www.jobkorea.co.kr/Recruit/GI_Read/45533123?rPageCode=SL&logpath=21&sn=6
제이에스엘인재개발원㈜,[국비지원 전액무료]Cloud 연계 웹 개발전문가(IT) 해외취업 교육생 모집 진행 /훈령수당지급/정착지원급/전공무관/고졸가능,https://www.jobkorea.co.kr/Recruit/GI_Read/45531797?rPageCode=SL&logpath=21&sn=6
휴먼교육센터,[전액무료 IT취업] 파이썬/데이터분석/인공지능/풀스택(무료숙식제공),https://www.jobkorea.co.kr/Recruit/GI_Read/45531585?rPageCode=SL&logpath=21&sn=6
㈜펄어비스,[펄어비스] [신입] 웹 개발자 모집 - 프론트엔드,https://www.jobkorea.co.kr/Recruit/GI_Read/45530917?rPageCode=SL&logpath=21&sn=6
㈜와플랩,디지털트윈 시각화 솔루션 개발 엔지니어 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45530897?rPageCode=SL&logpath=21&sn=6
㈜웅진씽크빅,[웅진씽크빅] `링고시티` 3D 영어콘텐츠 기획자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45529783?rPageCode=SL&logpath=21&sn=6
(유)앤서스랩코리아,[외국계/게임사]게임 개발자 모집(Developer),https://www.jobkorea.co.kr/Recruit/GI_Read/45527964?rPageCode=SL&logpath=21&sn=6
알서포트㈜,[코스닥 상장사] Flutter 경력 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45526820?rPageCode=SL&logpath=21&sn=6
㈜휴먼웍스,게임 운영 및 기획자 채용 공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45522114?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[프라시아 전기] 이펙트 아티스트,https://www.jobkorea.co.kr/Recruit/GI_Read/45521874?rPageCode=SL&logpath=21&sn=6
트리노드㈜,[부산/신입 또는 경력 1년 이상] ID팀 - TM(PM),https://www.jobkorea.co.kr/Recruit/GI_Read/45516967?rPageCode=SL&logpath=21&sn=6
㈜플린트,[플린트] 별이되어라2 배경 원화가,https://www.jobkorea.co.kr/Recruit/GI_Read/45515309?rPageCode=SL&logpath=21&sn=6
㈜코드랩이앤티,"C#,PLC ,유니티 가상공장구현 직업훈련 강사 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45514540?rPageCode=SL&logpath=21&sn=6
㈜프래믹스,언리얼엔진5 및 WebGL 게임 시스템 기획자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45514434?rPageCode=SL&logpath=21&sn=6
㈜프래믹스,WEBGL 게임 개발자 모집 (프론트엔드 & 백엔드),https://www.jobkorea.co.kr/Recruit/GI_Read/45514429?rPageCode=SL&logpath=21&sn=6
㈜엑스엘게임즈,엑스엘게임즈 프로그래머 부문 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45512573?rPageCode=SL&logpath=21&sn=6
㈜엑스엘게임즈,엑스엘게임즈 기획 부문 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45512567?rPageCode=SL&logpath=21&sn=6
㈜엑스엘게임즈,엑스엘게임즈 아트 부문 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45512560?rPageCode=SL&logpath=21&sn=6
제이나인㈜,개발연구소장 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45512018?rPageCode=SL&logpath=21&sn=6
아나토마지코리아㈜,[외국계] 2024 하반기 Medical 3D Modeler 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45511939?rPageCode=SL&logpath=21&sn=6
㈜게임엔,[산업기능요원 / 보충역] 분야별 개발자 채용 공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45510229?rPageCode=SL&logpath=21&sn=6
㈜심스리얼리티,[(주)심스리얼리티] 모델링 및 3D 배경 리소스 제작 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45510225?rPageCode=SL&logpath=21&sn=6
㈜게임엔,게임 운영 및 기획자 채용 공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45510213?rPageCode=SL&logpath=21&sn=6
제이에스엘인재개발원㈜,[국비지원 전액무료]미국 -한식 미슐랭 레스토랑- 세프 양성과정 참가자 모집 / 해외취업 /훈령수당지급/정착지원급/조리관련 전공자,https://www.jobkorea.co.kr/Recruit/GI_Read/45504156?rPageCode=SL&logpath=21&sn=6
㈜케이쓰리아이,"당사와 함께 성장할 XR콘텐츠 프로그래머를 모십니다. (Unity, Unreal)",https://www.jobkorea.co.kr/Recruit/GI_Read/45508683?rPageCode=SL&logpath=21&sn=6
그레모리 게임즈,[일본 근무] 클라이언트 프로그래머 채용 공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45507488?rPageCode=SL&logpath=21&sn=6
한국자금중개,2024년 한국자금중개(주) 채용형인턴 공개채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45504303?rPageCode=SL&logpath=21&sn=6
㈜하이퍼센트,게임 PC/모바일 개발자 신입 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45503225?rPageCode=SL&logpath=21&sn=6
㈜아이아이컴바인드,[젠틀몬스터] Unreal Engine VR개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/45502814?rPageCode=SL&logpath=21&sn=6
㈜더블다운게임즈,스포츠 커뮤니티 앱 서비스 개발자를 모십니다 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45502424?rPageCode=SL&logpath=21&sn=6
㈜더블다운게임즈,스포츠 커뮤니티 앱 서비스 기획자를 모십니다 (경력무관),https://www.jobkorea.co.kr/Recruit/GI_Read/45502384?rPageCode=SL&logpath=21&sn=6
㈜아크나인,3D모델링/리소스 디자이너 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45494743?rPageCode=SL&logpath=21&sn=6
㈜코드스토리,[코드스토리] 유니티 언리얼 클라이언트 경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45494097?rPageCode=SL&logpath=21&sn=6
퍼즐원스튜디오,[퍼즐원스튜디오] Level Designer Intern (정규직 전환형),https://www.jobkorea.co.kr/Recruit/GI_Read/45493979?rPageCode=SL&logpath=21&sn=6
㈜컴투스,[컴투스 그룹] 각 부문별 경력/신입 인재채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45493160?rPageCode=SL&logpath=21&sn=6
㈜스윙크,[신입] 스파인 spine 애니메이터,https://www.jobkorea.co.kr/Recruit/GI_Read/45489690?rPageCode=SL&logpath=21&sn=6
㈜에스씨에이게임부산,SBS아카데미게임학원(부산) 교육부 강사 [게임QA] 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45486633?rPageCode=SL&logpath=21&sn=6
㈜컴투스,[컴투스] TA / 그래픽 프로그래머 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45485008?rPageCode=SL&logpath=21&sn=6
㈜컴투스,[컴투스][Cinematic Dept] 캐릭터 리깅 셋업 및 스크립트 제작 담당자 (선임급),https://www.jobkorea.co.kr/Recruit/GI_Read/45484957?rPageCode=SL&logpath=21&sn=6
㈜컴투스,[컴투스][제노니아:크로노브레이크] 빌드 배포 담당 개발자 (단기계약직),https://www.jobkorea.co.kr/Recruit/GI_Read/45484882?rPageCode=SL&logpath=21&sn=6
㈜영우산업,[정규직] VR(가상현실) & Unity 정규직 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45484137?rPageCode=SL&logpath=21&sn=6
㈜오르카티비,[오르카티비] 2024년 상반기 3D 모델러 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45483856?rPageCode=SL&logpath=21&sn=6
스윙팡,(주)스윙팡 클라이언트 개발 경력자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45483468?rPageCode=SL&logpath=21&sn=6
스윙팡,(주)스윙팡 클라이언트 개발 신입 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45483429?rPageCode=SL&logpath=21&sn=6
㈜케이브이알인터랙티브,언리얼 C++ 개발자 경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45482685?rPageCode=SL&logpath=21&sn=6
㈜케이브이알인터랙티브,[케이브이알] 메타버스 웹서비스 백엔드개발,https://www.jobkorea.co.kr/Recruit/GI_Read/45482511?rPageCode=SL&logpath=21&sn=6
㈜이노테크미디어,Unity 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45481277?rPageCode=SL&logpath=21&sn=6
㈜플레이파크,게임 및 유니티개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/45477228?rPageCode=SL&logpath=21&sn=6
㈜조이시티,[JOYCITY] 3on3 프리스타일 사업PM 모집 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45478711?rPageCode=SL&logpath=21&sn=6
씨드로닉스㈜,Computer Vision 개발자 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45478133?rPageCode=SL&logpath=21&sn=6
㈜스마트빅,[스마트빅] 글로벌 게임 운영/번역/커뮤니케이션 담당자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45476352?rPageCode=SL&logpath=21&sn=6
영성미디어㈜,"AR, VR, XR, Unity3D, 유니티, 언리얼, 3D 디자인,메타버스 개발",https://www.jobkorea.co.kr/Recruit/GI_Read/45475119?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[인텔리전스랩스] 플랫폼 SDK 개발자 (Unity/Unreal),https://www.jobkorea.co.kr/Recruit/GI_Read/45476108?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[인텔리전스랩스] 플랫폼 SDK 개발자 (Windows),https://www.jobkorea.co.kr/Recruit/GI_Read/45476107?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[테일즈위버] 시나리오 기획자,https://www.jobkorea.co.kr/Recruit/GI_Read/45476104?rPageCode=SL&logpath=21&sn=6
㈜넥슨,신입/경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45476098?rPageCode=SL&logpath=21&sn=6
㈜에스티에이테스팅컨설팅,[ISTQB 교육/자격시험 지원]SW 테스트 엔지니어 모집(금융핀테크 부문),https://www.jobkorea.co.kr/Recruit/GI_Read/45475850?rPageCode=SL&logpath=21&sn=6
㈜스코넥 엔터테인먼트,[VR / XR 프로젝트] 디자이너 채용 (UI 그래픽),https://www.jobkorea.co.kr/Recruit/GI_Read/45474998?rPageCode=SL&logpath=21&sn=6
㈜스코넥 엔터테인먼트,[VR / XR 프로젝트] 기획자 채용 (콘텐츠 / 시스템),https://www.jobkorea.co.kr/Recruit/GI_Read/45474950?rPageCode=SL&logpath=21&sn=6
㈜스코넥 엔터테인먼트,[VR / XR 프로젝트] 프로그래머 채용 (클라이언트 / 서버 / 백엔드),https://www.jobkorea.co.kr/Recruit/GI_Read/45474912?rPageCode=SL&logpath=21&sn=6
씨이랩,[경력] Digital Twin Unity 엔진 프로그래머,https://www.jobkorea.co.kr/Recruit/GI_Read/45466215?rPageCode=SL&logpath=21&sn=6
㈜더쇼소프웨어,웹 게임 클라이언트 개발 / 백엔드 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45466186?rPageCode=SL&logpath=21&sn=6
다임리서치㈜,Daim Research의 DT솔루션을 위한 Unity 3D 시니어 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45464926?rPageCode=SL&logpath=21&sn=6
㈜고고다소프트,게임 프로젝트 매니저 PM 경력 정규직 채용[팀장급],https://www.jobkorea.co.kr/Recruit/GI_Read/45461889?rPageCode=SL&logpath=21&sn=6
㈜컴투스,[컴투스] 서머너즈워 차기 RPG 이펙터 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45461463?rPageCode=SL&logpath=21&sn=6
㈜컴투스,[컴투스] 서머너즈워 차기 RPG 캐릭터 컨셉 아티스트 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45461444?rPageCode=SL&logpath=21&sn=6
㈜컴투스,[컴투스] 서머너즈워 차기 RPG 배경모델러 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45461438?rPageCode=SL&logpath=21&sn=6
㈜컴투스,[컴투스] [서머너즈워] 배경 컨셉원화 (신입/경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45461417?rPageCode=SL&logpath=21&sn=6
㈜컴투스,[컴투스] [서머너즈워] 캐릭터 컨셉원화 (신입/경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45461410?rPageCode=SL&logpath=21&sn=6
㈜경일게임아이티아카데미,C++ 언리얼 엔진 기반 게임 프로그래밍 과정 교강사,https://www.jobkorea.co.kr/Recruit/GI_Read/45459557?rPageCode=SL&logpath=21&sn=6
㈜스마일게이트홀딩스,[스마일게이트 엔터테인먼트] [AI센터] 음성 합성/인식 모델 개발 담당(팀장급),https://www.jobkorea.co.kr/Recruit/GI_Read/45459199?rPageCode=SL&logpath=21&sn=6
㈜스마일게이트홀딩스,[스마일게이트 엔터테인먼트] [AI센터] AI 프로젝트 PMO,https://www.jobkorea.co.kr/Recruit/GI_Read/45459182?rPageCode=SL&logpath=21&sn=6
㈜스마일게이트홀딩스,[스마일게이트 엔터테인먼트] [AI센터] AI 서비스 개발 - 백엔드(과장급),https://www.jobkorea.co.kr/Recruit/GI_Read/45459164?rPageCode=SL&logpath=21&sn=6
㈜스마일게이트홀딩스,[스마일게이트 엔터테인먼트] [AI센터] 캐릭터 모델링 담당(아르바이트),https://www.jobkorea.co.kr/Recruit/GI_Read/45459149?rPageCode=SL&logpath=21&sn=6
㈜스마일게이트홀딩스,[스마일게이트 엔터테인먼트] [AI센터] 캐릭터 모델 학습 연구 담당(인턴),https://www.jobkorea.co.kr/Recruit/GI_Read/45459130?rPageCode=SL&logpath=21&sn=6
㈜스마일게이트홀딩스,[스마일게이트 엔터테인먼트] [AI센터] AI 서비스 개발 - 백엔드(대리급),https://www.jobkorea.co.kr/Recruit/GI_Read/45459105?rPageCode=SL&logpath=21&sn=6
㈜스마일게이트홀딩스,[스마일게이트 엔터테인먼트] [AI센터] AI 서비스 개발 - 프론트엔드,https://www.jobkorea.co.kr/Recruit/GI_Read/45459094?rPageCode=SL&logpath=21&sn=6
㈜스마일게이트홀딩스,[스마일게이트 엔터테인먼트] [AI센터] 비전 관련 생성모델 연구개발 담당,https://www.jobkorea.co.kr/Recruit/GI_Read/45459076?rPageCode=SL&logpath=21&sn=6
더(The)국제직업전문학교,[컴퓨터교육] 유니티 엔진개발 강사 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45452997?rPageCode=SL&logpath=21&sn=6
한국ICT인재개발원,[국비무료IT취업교육]JAVA웹앱/프론트엔드/백엔드/풀스택/빅데이터/인공지능 외 자바개발자취업교육과정/준비된 인재로 취업하기/SW융복합 인재양성 /수료전부터 취업연계매칭시스템,https://www.jobkorea.co.kr/Recruit/GI_Read/45452483?rPageCode=SL&logpath=21&sn=6
디알엑스㈜,DRX 아카데미 디스코드 강사 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45447201?rPageCode=SL&logpath=21&sn=6
브이알미디어,[브이알미디어] 프로그래머를 모십니다. (신입/경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45443664?rPageCode=SL&logpath=21&sn=6
㈜플레이파크,[대구]회사와 함께 성장할 유니티 게임개발경력자분 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45442036?rPageCode=SL&logpath=21&sn=6
㈜스토리타코,[스토리타코] 모바일 스토리게임 시나리오 라이터 채용(신입/경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45439118?rPageCode=SL&logpath=21&sn=6
