회사명,직무명,링크
지에이엘,[GET A LIFE] 에서 운영팀을 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45543449?rPageCode=SL&logpath=21&sn=6
㈜핌스,[정규직] 경영지원그룹 기획운영팀 경력 채용(경영기획 등),https://www.jobkorea.co.kr/Recruit/GI_Read/45543381?rPageCode=SL&logpath=21&sn=6
더 리본,[관리직] 더리본(주) 본사 남.녀 관리자후보 신입 공채,https://www.jobkorea.co.kr/Recruit/GI_Read/45543369?rPageCode=SL&logpath=21&sn=6
㈜엘비아브노바,LB그룹 2024년 부문별 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541487?rPageCode=SL&logpath=21&sn=6
㈜신미글로벌,[신미글로벌] 펫 브랜드 기획 담당자(경력) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45543188?rPageCode=SL&logpath=21&sn=6
㈜아비브,양재) 주니어/시니어 MICE 행사 기획자(BTL) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45543078?rPageCode=SL&logpath=21&sn=6
㈜희망복지방송,복지TV 기획팀 담당자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45543053?rPageCode=SL&logpath=21&sn=6
롯데손해보험㈜,"[롯데손해보험] 재무회계, 콘텐츠 마케터, Data Modeling 직무 경력직 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45543023?rPageCode=SL&logpath=21&sn=6
㈜원시,[본사] 회계 경리 직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45543022?rPageCode=SL&logpath=21&sn=6
㈜아이트럭,아이트럭에서 경력직 서비스 기획자를 모십니다 :),https://www.jobkorea.co.kr/Recruit/GI_Read/45542935?rPageCode=SL&logpath=21&sn=6
신라에이치엠㈜,"신라 모노그램(강릉, 5성급) 분야별 인재 채용(분야별 팀장급)",https://www.jobkorea.co.kr/Recruit/GI_Read/45542316?rPageCode=SL&logpath=21&sn=6
㈔한국AI스마트홈산업협회,스마트홈/IoT분야 연구기획/개발 신입 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541534?rPageCode=SL&logpath=21&sn=6
