회사명,직무명,링크
지니너스㈜,BI분석 연구원 경력 수시 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45543041?rPageCode=SL&logpath=21&sn=6
컴퓨터수리,유지보수 업무 담당자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542917?rPageCode=SL&logpath=21&sn=6
㈜스피링크,[TEXTNET] 일상대화 인공지능 학습데이터 구축(풀재택 / 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/45542892?rPageCode=SL&logpath=21&sn=6
㈔한국AI스마트홈산업협회,스마트홈/IoT분야 연구기획/개발 신입 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541534?rPageCode=SL&logpath=21&sn=6
㈜첫눈소프트,DBA/AA/서대문역,https://www.jobkorea.co.kr/Recruit/GI_Read/45542383?rPageCode=SL&logpath=21&sn=6
㈜빅밸류,[빅밸류] Data Scientist(검역담당) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542038?rPageCode=SL&logpath=21&sn=6
㈜빅밸류,[빅밸류] Data Scientist(공통) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542010?rPageCode=SL&logpath=21&sn=6
라라컴,인공지능 개발자 연구원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45541996?rPageCode=SL&logpath=21&sn=6
㈜한국파크,IT 팀원모집 ERP개발 및 관리운영,https://www.jobkorea.co.kr/Recruit/GI_Read/45541884?rPageCode=SL&logpath=21&sn=6
키스네일프러덕츠인크(영업소),외국계뷰티회사ㅣ Data Engineer 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45541875?rPageCode=SL&logpath=21&sn=6
㈜리버스아이티,DBA (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45541633?rPageCode=SL&logpath=21&sn=6
㈜가치정보기술,산업별/지역별 SI/SM 프로젝트 안내,https://www.jobkorea.co.kr/Recruit/GI_Read/45541646?rPageCode=SL&logpath=21&sn=6
㈜크라우드웍스,[증미역] 금융 학습 데이터셋 구축 계약직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45541203?rPageCode=SL&logpath=21&sn=6
뉴로핏㈜,[의료AI기업] 영상 기반 AI 연구원 모집 (강원 춘천),https://www.jobkorea.co.kr/Recruit/GI_Read/45540767?rPageCode=SL&logpath=21&sn=6
컴퓨터수리,한단계 성장하기를 원하는 네트워크 점검 / 설치 엔지니어 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45540727?rPageCode=SL&logpath=21&sn=6
㈜에스씨에스,펌웨어 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45540621?rPageCode=SL&logpath=21&sn=6
㈜원익로보틱스,㈜원익로보틱스 각 부문별 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45535745?rPageCode=SL&logpath=21&sn=6
㈜비앤앤컴퍼니,"바나나몰 쇼핑몰, 개발자(PHP) 정규직 사원 채용(개발팀)",https://www.jobkorea.co.kr/Recruit/GI_Read/45540093?rPageCode=SL&logpath=21&sn=6
㈜사이냅소프트,[2024년 신입·경력 공개채용] 각 부문별 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45536350?rPageCode=SL&logpath=21&sn=6
㈜좋은사람들,좋은사람들 전산팀(인프라 INFRA 구축) 경력사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45539732?rPageCode=SL&logpath=21&sn=6
㈜에이젠코어,(주)에이젠코어[국방사업연구소] 빅데이터 & AI 개발자 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45539500?rPageCode=SL&logpath=21&sn=6
리드커리어㈜,"[분당 서현역/주5일] 제품시험지원, SW품질테스트, 결과검증시험지원 시험연구원 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45535576?rPageCode=SL&logpath=21&sn=6
㈜트릿지,주니어 데이터 거버넌스(Junior Data Governance) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45534144?rPageCode=SL&logpath=21&sn=6
㈜트릿지,Data PM (Governance) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45534444?rPageCode=SL&logpath=21&sn=6
㈜엑심베이,해외결제 위험관리 운영 (정규직),https://www.jobkorea.co.kr/Recruit/GI_Read/45538072?rPageCode=SL&logpath=21&sn=6
㈜트릿지,데이터 거버넌스 매니저(Data Governance Manager) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45534070?rPageCode=SL&logpath=21&sn=6
㈜트릿지,Data Acquisition (계약직) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45534320?rPageCode=SL&logpath=21&sn=6
㈜제로투원파트너스,데이터분석가 경력 채용 (책임/차장 이상),https://www.jobkorea.co.kr/Recruit/GI_Read/45537304?rPageCode=SL&logpath=21&sn=6
노보텍아시아코리아㈜,[Novotech] Principal Clinical Data Manager 1년 계약직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45537706?rPageCode=SL&logpath=21&sn=6
㈜디알비동일,[DRB] 2024년 하반기 분야별 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45537477?rPageCode=SL&logpath=21&sn=6
