회사명,직무명,링크
엘에스에프,"부자재 구매 및 관리, ERP 관리",https://www.jobkorea.co.kr/Recruit/GI_Read/45543362?rPageCode=SL&logpath=21&sn=6
티아이에스㈜,2024년 TIS 구매팀 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45543334?rPageCode=SL&logpath=21&sn=6
㈜동구밭,(주)동구밭 브랜드사 물류담당 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45543323?rPageCode=SL&logpath=21&sn=6
㈜한국프라켐,"(주)한국프라켐 서천물류센터 직원 채용 - 상하차, 입출고, 재포장, 납품 외",https://www.jobkorea.co.kr/Recruit/GI_Read/45543164?rPageCode=SL&logpath=21&sn=6
㈜파이헬스케어(Pie Healthcare),커머스 물류 운영 담당자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45543130?rPageCode=SL&logpath=21&sn=6
더베럴에듀,온라인 쇼핑몰 물류/ 입출고 창고 관리 담당자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45543040?rPageCode=SL&logpath=21&sn=6
㈜케이엑스넥스지,케이엑스넥스지 제품관리파트 장비담당 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45542981?rPageCode=SL&logpath=21&sn=6
㈜호원인더스,한중 무역 담당자를 채용합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45542976?rPageCode=SL&logpath=21&sn=6
㈜정직한친구들,"상품입고, 택배포장, 품질검사, 재고관리 업무 (휴대폰 부품)....",https://www.jobkorea.co.kr/Recruit/GI_Read/45542956?rPageCode=SL&logpath=21&sn=6
㈜광일전선,자재 및 상품관리팀 사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542896?rPageCode=SL&logpath=21&sn=6
신라에이치엠㈜,"신라 모노그램(강릉, 5성급) 분야별 인재 채용(분야별 팀장급)",https://www.jobkorea.co.kr/Recruit/GI_Read/45542316?rPageCode=SL&logpath=21&sn=6
㈜서울커뮤니케이션,[LG전자/여의도/복지우수] IT해외영업기획팀 선적/통관 사무직 채용(셔틀운행),https://www.jobkorea.co.kr/Recruit/GI_Read/45542811?rPageCode=SL&logpath=21&sn=6
㈜미더스,"(주) 미더스 육가공 기업에서 총무,인사,경리,구매발주, 마감업무를 담당할 직원 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45542846?rPageCode=SL&logpath=21&sn=6
SK E&S,SK E&S㈜ 전략구매팀 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541417?rPageCode=SL&logpath=21&sn=6
백광산업,경리 및 관리총괄 실장 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45542777?rPageCode=SL&logpath=21&sn=6
㈜이지엠인터내셔널,김포물류센터 제품 입출고 신입 및 경력사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542741?rPageCode=SL&logpath=21&sn=6
㈜엠에스팜,(주)엠에스팜 관리부 직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542717?rPageCode=SL&logpath=21&sn=6
㈜테크로스,[주식회사 테크로스]2024년 각 부문별 신입/경력 사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45533939?rPageCode=SL&logpath=21&sn=6
대중메디팜,쇼핑몰 창고관리 직원 모집합니다,https://www.jobkorea.co.kr/Recruit/GI_Read/45542674?rPageCode=SL&logpath=21&sn=6
(의)성지의료재단,[원주 성지병원] 2024년도 총무팀(행정직) 사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542668?rPageCode=SL&logpath=21&sn=6
영일엠㈜,"생산관리, 구매관리 경력자 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/45542597?rPageCode=SL&logpath=21&sn=6
우인미트,수입 축산물 거래처 배송 및 단순작업 보조 사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542522?rPageCode=SL&logpath=21&sn=6
골마켓㈜,골마켓커머스 쇼핑몰 물류관리 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45542512?rPageCode=SL&logpath=21&sn=6
㈜이우티이씨,"(용인본사) 전력기자재 품질, 자재관리 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45542429?rPageCode=SL&logpath=21&sn=6
