회사명,직무명,링크
㈜에펠오토,PEUGEOT 푸조 분당(판교)전시장 세일즈컨설턴트(SC) 직원 채용 공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45543592?rPageCode=SL&logpath=21&sn=6
㈜코리아테크,[바르는뷰티 가히KAHI] 국내 (오프라인) 영업관리 담당자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45543591?rPageCode=SL&logpath=21&sn=6
㈜티피씨인터넷,크리에이터 비즈니스 플랫폼 `LIKEY` 운영 매니저,https://www.jobkorea.co.kr/Recruit/GI_Read/45543558?rPageCode=SL&logpath=21&sn=6
㈜케이티엠앤에스,KTm&s (주)케이티엠앤에스 광진도매센터 영업매니저 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45543555?rPageCode=SL&logpath=21&sn=6
주식회사 퀴버메딕,해외마케팅팀 경력자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45543530?rPageCode=SL&logpath=21&sn=6
더 리본,더리본(주) 상조/크루즈/웨딩/어학연수 TM & 리빙플래너 신입 공채,https://www.jobkorea.co.kr/Recruit/GI_Read/45543528?rPageCode=SL&logpath=21&sn=6
휴스타드,매장관리 및 주얼리 디자이너 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45543527?rPageCode=SL&logpath=21&sn=6
㈜다람이엔지,"클린룸 영업,설계 및 현장관리자 채용공고(근무지: 안산)",https://www.jobkorea.co.kr/Recruit/GI_Read/45543524?rPageCode=SL&logpath=21&sn=6
에이치로보틱스㈜,[재활로봇] 의료기기 국내영업 부문 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45543515?rPageCode=SL&logpath=21&sn=6
수산업협동조합중앙회,2024년도 하반기 전국 수협 일괄공개채용 공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45500047?rPageCode=SL&logpath=21&sn=6
㈜스퀴즈맥주,강원지역 주류영업 담당자 구인 (대리급),https://www.jobkorea.co.kr/Recruit/GI_Read/45543512?rPageCode=SL&logpath=21&sn=6
㈜미누스토리,[화장품] OEM/ODM 영업직,https://www.jobkorea.co.kr/Recruit/GI_Read/45543508?rPageCode=SL&logpath=21&sn=6
홈플러스㈜,홈플러스 서귀포점 신입/경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45543489?rPageCode=SL&logpath=21&sn=6
귀뚜라미,(주)귀뚜라미 홍보사원 충원,https://www.jobkorea.co.kr/Recruit/GI_Read/45543482?rPageCode=SL&logpath=21&sn=6
㈜현대리바트,현대리바트 창원 자재영업(견적/입찰) 계약직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541879?rPageCode=SL&logpath=21&sn=6
㈜상보,윈도우필름 해외영업 (경력7년이하) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45543457?rPageCode=SL&logpath=21&sn=6
㈜까르멘,(주)까르멘 정규직 영업사원 채용공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45543467?rPageCode=SL&logpath=21&sn=6
엠앤제이부동산중개법인㈜,"[추천] 초보자도 입사 가능한 부동산회사(공인중개사, 중개보조원 구인)",https://www.jobkorea.co.kr/Recruit/GI_Read/45543455?rPageCode=SL&logpath=21&sn=6
복드림㈜,복호두 본사 SV바이저 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45543434?rPageCode=SL&logpath=21&sn=6
㈜티에프텍,영업부 사원 모집(1톤트럭운전가능자)(10월 밀양시 삼랑진으로 이사 예정),https://www.jobkorea.co.kr/Recruit/GI_Read/45543426?rPageCode=SL&logpath=21&sn=6
복드림㈜,[복드림(주)] 복호두 프랜차이즈 팀장부문 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45543425?rPageCode=SL&logpath=21&sn=6
