회사명,직무명,링크
수퍼에이전시,MUSED [뮤제드] 의류 생산관리 경력직,https://www.jobkorea.co.kr/Recruit/GI_Read/45543372?rPageCode=SL&logpath=21&sn=6
㈜인터컨스텍,괴산공장 토목PC 생산관리/품질관리 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45543294?rPageCode=SL&logpath=21&sn=6
제이에스이엔지,"생산, 생산관리",https://www.jobkorea.co.kr/Recruit/GI_Read/45543233?rPageCode=SL&logpath=21&sn=6
㈜베이스먼트랩,베이스먼트랩 사업본부 생산팀 팀원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45538438?rPageCode=SL&logpath=21&sn=6
㈜컬리,[컬리] 평택 신선식품 QC 품질관리 담당자(스탭) (심야),https://www.jobkorea.co.kr/Recruit/GI_Read/45543182?rPageCode=SL&logpath=21&sn=6
홈플러스㈜,홈플러스 김해점 축산 경력 정규직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45543167?rPageCode=SL&logpath=21&sn=6
㈜주일,생산 포장 직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45543139?rPageCode=SL&logpath=21&sn=6
㈜컬리,[컬리] 평택 신선식품 QC 품질관리 담당자(스탭) (주간),https://www.jobkorea.co.kr/Recruit/GI_Read/45543137?rPageCode=SL&logpath=21&sn=6
우진정밀,생산현장 및 납품관리 매입 매출 세금계산서 발행 급여정산 등,https://www.jobkorea.co.kr/Recruit/GI_Read/45543101?rPageCode=SL&logpath=21&sn=6
더베럴에듀,온라인 쇼핑몰 물류/ 입출고 창고 관리 담당자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45543040?rPageCode=SL&logpath=21&sn=6
㈜에이피피텍,자동차 부품 제조업 품질부 QC 인원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542891?rPageCode=SL&logpath=21&sn=6
SK E&S,SK E&S㈜ 전략구매팀 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45541417?rPageCode=SL&logpath=21&sn=6
(주)대성지퍼,((주)대성지퍼 생산관리 직원채용(중국어필수/조선족가능/F4비자/영주권자 우대),https://www.jobkorea.co.kr/Recruit/GI_Read/45542826?rPageCode=SL&logpath=21&sn=6
㈜우공농업회사법인,(주)우공 농업회사법인 식품 품질관리자 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45542806?rPageCode=SL&logpath=21&sn=6
브루잉랩(주),콜드브루(더치커피) 생산관리직 - 함께해요,https://www.jobkorea.co.kr/Recruit/GI_Read/45542793?rPageCode=SL&logpath=21&sn=6
㈜켐스필드코리아,품질관리 대리급 이하 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45542786?rPageCode=SL&logpath=21&sn=6
이코복스커피㈜,이코복스커피에서 단순 생산 원두커피 제조 생산직 구인 합니다,https://www.jobkorea.co.kr/Recruit/GI_Read/45542759?rPageCode=SL&logpath=21&sn=6
구현테크(주),냉동기 관련 기사 자격증 보유자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45542622?rPageCode=SL&logpath=21&sn=6
범한메카텍㈜,[범한메카텍(구.두산메카텍)] PM(Project Management) 엔지니어 정규직 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45542602?rPageCode=SL&logpath=21&sn=6
영일엠㈜,"생산관리, 구매관리 경력자 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/45542597?rPageCode=SL&logpath=21&sn=6
㈜이우티이씨,[용인본사] 전력량계 제조/품질관리 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45542575?rPageCode=SL&logpath=21&sn=6
케미코첨단소재㈜,플라스틱 압출성형 생산직 인재 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45542566?rPageCode=SL&logpath=21&sn=6
인테크,"[현대,기아1차/월400만/상여100/1인기숙사/통근] 자동차 소형 PCB 생산 사원 대규모 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45542531?rPageCode=SL&logpath=21&sn=6
인테크,자동차부품 생산직 모집 [주5일/자동차부품/통근/주간/성과금/월320만/기숙사],https://www.jobkorea.co.kr/Recruit/GI_Read/45542525?rPageCode=SL&logpath=21&sn=6
인테크,[대기업협력/2교대/기숙사비지원/자차/각종수당/장기] 자동차 부품 생산 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542520?rPageCode=SL&logpath=21&sn=6
인테크,[교대/상여100/기숙사/월평균400/주급] 자동차 부품 조립 및 검사 업무,https://www.jobkorea.co.kr/Recruit/GI_Read/45542511?rPageCode=SL&logpath=21&sn=6
인테크,"[시급11,360/주5일/주간/기숙사/월330만/성과금/통근] 7t 미만 지게차 사원 大모집",https://www.jobkorea.co.kr/Recruit/GI_Read/45542485?rPageCode=SL&logpath=21&sn=6
인테크,"[시급11,080/주간/기숙사/주5일] 자동차부품 설비OP 사원 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/45542463?rPageCode=SL&logpath=21&sn=6
인테크,[2교대/자차/수당/기숙사비지원] 자동차 부품 생산 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542460?rPageCode=SL&logpath=21&sn=6
인테크,[상여100/주급/기숙사/월평균400/교대] 자동차 부품 조립 및 검사 업무,https://www.jobkorea.co.kr/Recruit/GI_Read/45542456?rPageCode=SL&logpath=21&sn=6
㈜이우티이씨,"(용인본사) 전력기자재 품질, 자재관리 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45542429?rPageCode=SL&logpath=21&sn=6
블루닉스㈜,"블루닉스 품질관리팀 신입,경력 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45542267?rPageCode=SL&logpath=21&sn=6
인테크,"[시급14,000/통근버스/당일지급/주간] 자동차 유리 생산보조 사원 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/45542342?rPageCode=SL&logpath=21&sn=6
인테크,"[주간/통근/특근없음/상여100] 자동차 케이블 생산,자재,물류 사원모집",https://www.jobkorea.co.kr/Recruit/GI_Read/45542331?rPageCode=SL&logpath=21&sn=6
㈜위너스,생산현장 팀장 (생산공정 및 생산계획/실적 관리),https://www.jobkorea.co.kr/Recruit/GI_Read/45542311?rPageCode=SL&logpath=21&sn=6
㈜제이피코리아,디스플레이 및 반도체 (제조조립팀/설계관리/PLC(제어)/영업/경영지원) 직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45539890?rPageCode=SL&logpath=21&sn=6
인테크,[2교대/대기업협력/기숙사/자차/각종수당/장기] 자동차 부품 생산 사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542254?rPageCode=SL&logpath=21&sn=6
(주)에스피텍,생산직사원 모집 (FRAME 검사원),https://www.jobkorea.co.kr/Recruit/GI_Read/45542237?rPageCode=SL&logpath=21&sn=6
인테크,[교대/상여100/월400이상/기숙사]자동차 부품 조립 검사 포장 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542232?rPageCode=SL&logpath=21&sn=6
인테크,[주5일/통근/주간/성과금/월320만/기숙사] 자동차부품 생산설비OP 대모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45542225?rPageCode=SL&logpath=21&sn=6
