연번,가격,상품명,상세정보
1,"499,000원",게이밍 컴퓨터 조립PC 게임용 데스크탑 본체 i5 9400F GTX1660 윈도우탑재,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 9세대, CPU : 코어i5-9400F, , 그래픽 : 지포스GTX1660, 메인보드 : (인텔) B360, 칩셋램용량 : 8GB       "
2,"449,000원",바로쓰는 게임 컴퓨터 조립PC 장비 풀세팅,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 12세대, CPU : 코어i3-12100, 메인보드 : (AMD) A320, 칩셋램용량 : 8GB, 램규격 : DDR4, SSD용량 : 500GB"
3,"1,905,000원",샵다나와 게임용 조립PC [인텔 i7-12700F/RTX4070S/32GB] SSPB 7-3,"종류 : 조립형PC, CPU제조사 : 인텔CPU : 코어i7-12700F, , 그래픽 : 지포스 RTX4070, 메인보드 : (인텔)B760M, 칩셋램용량 : 32GB, SSD용량 : 1TB, 운영체제 : OS미포함"
4,"568,000원",포유컴 조립식PC 컴퓨터견적 완본체 게이밍 방송용 주식용 사무용,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5램용량 : 16GB, 램규격 : DDR4, SSD용량 : 500GBSSD 인터페이스 : NVMeM.2파워 : 500W단자 : DisplayPort D-Sub    "
5,"388,000원",포유컴 라이젠 R5 5500GT M2 NVMe 512G 멀티작업용 컴퓨터 조립PC,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5500GT, , 그래픽 : 라데온 , , 그래픽 7, 메인보드 : (AMD)A520M, 칩셋램용량 : 16GB "
6,"769,000원",포유컴 인텔12세대 i5 12400F RTX3050 게이밍컴퓨터 조립PC,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, , 그래픽 : 지포스 RTX3060, 메인보드 : (인텔)B660, 칩셋램용량 : 16GB"
7,"505,000원",샵다나와 사무용 조립PC [AMD R5-4650G/내장VGA/16GB] SSPB 5-1,"종류 : 조립형PC, CPU제조사 : AMDCPU : 라이젠5 Pro-4650G, , 그래픽 : CPU내장, 메인보드 : (AMD)A520M, 칩셋램용량 : 16GB, SSD용량 : 500GB, 운영체제 : OS미포함"
8,"1,419,000원",샵다나와 게임용 조립PC [AMD R5-7500F/RTX4060Ti/16GB] SSPB 5-12,"종류 : 조립형PC, CPU제조사 : AMDCPU : 라이젠5-7500F, , 그래픽 : 지포스 RTX4060 Ti, 메인보드 : (AMD) A620M, 칩셋램용량 : 16GB, SSD용량 : 1TB, 운영체제 : OS미포함"
9,"957,000원",조립PC 게이밍컴퓨터 고사양 게임용 데스크탑 게이밍PC 팰월드 발로란트 배그 롤 본체00,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 12세대, CPU : 코어i3-12100, 메인보드 : (AMD)A520M, 칩셋램용량 : 8GB, 램규격 : DDR4, SSD용량 : 500GB            "
10,"599,000원",삼성 올인원PC 일체형 데스크탑 사무용 인강용 선없는 컴퓨터 Win11 프로,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 펜티엄 골드-G7505   
메모리 특가 이벤트! 사용이 편리한 무선 키보드+마우스 증정"
11,"430,000원",조립PC 게이밍 컴퓨터 롤 서든어택 오버워치 배틀그라운드 배그 컴퓨터본체,"종류 : 조립형PC, 램용량 : 16GB, SSD용량 : 240GB파워 : 500WODD : 옵션(선택사양)단자 : D-Sub DVI HDMI HDMI(출력) USB2.0(2개) USB2.0(3개) USB2.0(4개) USB3.0(1개)             "
12,"499,000원",게이밍 컴퓨터 조립PC 게임용 데스크탑 본체 i5 9400F GTX1660 윈도우탑재,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 9세대, CPU : 코어i5-9400F, , 그래픽 : 지포스GTX1660, 메인보드 : (인텔) B360, 칩셋램용량 : 8GB       "
13,"990,000원",[NEW 2024년 신제품] 삼성데스크탑 컴퓨터 인텔 14세대 i7 CPU 프리미어 프로 배그 lol 게이밍 PC,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i7-14700     
NEW 2024 삼성데스크탑 신모델 런칭!+인텔14세대 i7"
