연번,제목,날짜,글 내용,댓글 내용
1,이거 어떻게 할까요,2024.07.03 09:18,현재 사양입니다 CPU- amd ryzen 5 1600 메인보드- 애즈락 AB350M PRO4 램 -삼성 DDR4 8G X2 그래픽-GTX 1060 6G SSD 2개 HDD 1테라 1개 CD-RW 파워-마이크로닉스-the classic II 600W 이 상태였는데 라이젠5600 구매해서 어제 기존 cpu뽑다가 무뽑돼더니 피씨에 전원도 안들어오네요 (파워는 괜찬은거 같아요) 구매해둔 라이젠 5600 있어서 보드만 구매해서 좀더 쓰는게 나을까요 ?새로구매하는게 나을까요? ASRock B550M Phantom Gaming 4 대원씨티에스 이거 살까 합니다 나중에 4060싸면 하나 살까 생각중이에요 가끔 디아4 정도만하고있어요,메모리 까지 싹다 바꿔서 7500F 까지 구성하실게 아니라면 B550 메인보드 저렴한거 구매하셔서 5600 부활 시키시는 것도 나쁘진 않을 듯 하네요 || 메모리 까지 싹다 바꿔서 7500F 까지 구성하실게 아니라면 B550 메인보드 저렴한거 구매하셔서 5600 부활 시키시는 것도 나쁘진 않을 듯 하네요
2,완제품 조립형 피시 추천하는 제품이나 브랜드 있나요?,2024.07.03 09:17,4070ti나 4080들어가는 제품으로 예산 200-300사이로 잡고있는데 가성비 괜찮고 믿을만한 브랜드나 제품있을까요? 지금은 아이웍스로 생각하고 있는데 더 나은곳 있으면 추천 부탁드립니다!,안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 300만원대 구성으로 AMD 라이젠 7800X3D + RTX 4080 SUPER 까지 구성을 하신다면 충분히 완제품 구성이 아닌 조립식으로 구성을 해주셔도 충분합니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 300만원대 구성으로 AMD 라이젠 7800X3D + RTX 4080 SUPER 까지 구성을 하신다면 충분히 완제품 구성이 아닌 조립식으로 구성을 해주셔도 충분합니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다.
3,i5-14600k + 4070ti super 조합 병목현상 있을까요?,2024.07.03 09:13,안녕하세요 오랜만에 오래쓸 컴터 맞춰볼라고 계획중인데요. 본래는 i5-14600k에 4070 super를 계획중이었으나 조금 더주고 4070ti super를 구매해볼 생각입니다. 전자 구성은 많은데 후자 구성이 별로 정보가 없는거 같아 여쭤봅니다 ㅠㅠ 파워도 750W 구매 예정인데 850W짜리 사야되는지 고수님들께 여쭤봅니다!,14600K라면 RTX 4080 SUPER까지도 크게 병목이 없긴 할 겁니다. 4070 ti super는 더 문제가 없겠죠 ^^ 권장 자체는 750w급 인 그래픽카드도 있긴 하나 실질 성능 관련해서는 850w급 정도는 구성을 해주시는게 좀 더 안정적이긴 할 겁니다. 750w 골드 급 제품중 좀 쓸만한 제품 가격이나 850w 골드 급 제품 중 쓸만한 제품 가격과 거의 차이도 없을 겁니다 ^^ || 14600K라면 RTX 4080 SUPER까지도 크게 병목이 없긴 할 겁니다. 4070 ti super는 더 문제가 없겠죠 ^^ 권장 자체는 750w급 인 그래픽카드도 있긴 하나 실질 성능 관련해서는 850w급 정도는 구성을 해주시는게 좀 더 안정적이긴 할 겁니다. 750w 골드 급 제품중 좀 쓸만한 제품 가격이나 850w 골드 급 제품 중 쓸만한 제품 가격과 거의 차이도 없을 겁니다 ^^
4,견적문의 드립니다. 조언 부탁드립니다.,2024.07.03 08:48,"하는 게임은 발로란트, 레데리2 입니다. QHD 에서 풀옵으로 돌리고 싶은데 가능할까요? 아니면 어느정도 타협이 필요할까요?","안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 최대 예산도 같이 적어주시는게 좋을 듯 합니다 ^^ 들어가있는 SSD제품은 PCIE3.0제품이며 구성해주신 PCIE4.0환경에서는 PCIE3.0제품을 사용해주시는거보다 PCIE4.0제품으로 구성해주시는게 성능적으로 이점이 있습니다 변경추천드립니다^^ 1. Western Digital WD BLACK SN850X M.2 NVMe || 레데리 2 기준으로 RTX 4070 SUPER 구성이라면 엄청 고주사율 말고 어느정도 문제가 없는 정도의 프레임 확보로 게임 하실 부분이라면 크게 문제는 없어 보입니다. 다만 , 좀 더 높은 고주사율 플레이를 원하신다면 레데리 2의 경우 약간의 옵션 타협을 해주시는 걸 추천드립니다. 그 이외 구성에서도 좀 아쉬운 스펙이 있긴 하네요 우선 지금 구성하신 CPU 대비 쿨러는 좀 과합니다. 공냉 준 대장급 제품을 기준으로 가장 가성비가 좋은 JF200 MINI 같은 제품만 되어도 충분한 스펙이긴 할 겁니다. 메인보드는 구성하신 제품이 n채널 모스팻 / 200a급 전원부 제품인데"
5,100만원대 영상8/게임2 편집 용 견적 부탁 드립니다.,2024.07.03 08:16,용량 큰 하드는 추가로 사서 달려고 합니다. 기본 용량의 하드만 하나 달아주시면 좋을 것 같습니다. 견적 부탁 드립니다~!,영상이라는게 편집을 하시는 것 같은데 100만원 대를 기준으로 하신다면 무조건 프록시 설정해서 작업을 해주셔야 하고 지금 구성이라면 거의 가성비 게임용 견적 구성 밖에 안될 것 같은 가격대이기는 하네요 저장장치의 경우 메인 제품은 SSD로 구성을 해주시는게 좋을 겁니다. 그것도 D램이 탑재 되어 안정성이 좋고 용량도 500GB 이상으로 구성을 해주시는 걸 추천드리며 차후에 HDD 추가로 증설 하시는 걸 권장 드립니다. 견적달인 48440 11 642 1422 || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 금액대가 많이 타이트 하여 무거운 작업에는 맞지 않을 듯 하고 취미용이나 컷편집 정도에 적절해보입니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다.
6,견적 충고 부탁드립니다.,2024.07.03 07:55,이정도면 배그 정도까지는 되려나요.? 자금여유가 많지 않아서요.,RTX 3050 6GB 제품이라면 실제 성능은 GTX 1660 SUPER 보다도 못한 성능입니다. RTX 3050 6GB < GTX 1660 SUPER =< RTX 3050 8GB < RTX 2060 < RX 6600 이런 성능 차이가 발생하는데 지금 가격대 기준이라면 12400F 구성보다도 라이젠 5600 구성이 기본 성능상 더 좋은 부분이고 메인보드 가격도 A520M-A II 같은 제품으로도 구성이 가능하기에 더 저렴하게 구성도 가능 합니다. 아니면 아얘 처음부터 오버클럭 메모리 구성해서 좀 더 프레임 방어에 신경을 써줄 수도 있구요. 메모리는 한장 구성보다는 2장 구성이 배그정도라면 8기가 2장 이라면 충분 할 겁니다. || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 80만원대 구성으로 하신다면 AMD 라이젠 5600 + 라데온 RX 6600으로 구성을 해주셔도 좋을 듯 합니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다.
7,노트북 업그레이드 질문(램/ssd),2024.07.03 07:40,안녕하세요 제가 얼마전에 레노버 노트북을 구매하였습니다. 사용하다보니 용량이 너무 부족해서(1테라) 업그레이드를 하고 싶은데.. 이왕 하는거 램도 해야하나 하는 생각이 들어서요. 문제는 제가 잘 몰아서 여기저기 찾아보고 있는데 어려워서 고수님들께 의견을 물어보고자 이렇게 글을 적게 되었습니다. 1. 지금 지원하는 ssd 용량은 1 테라가 최고인거죠? 지금 p31 과 p41 을 고민중인데 뭐가 나을까요? 혹시 더 좋은 ssd 도 추천해주셔도 감사합니다! 2. 램 16 기가가 껴져 있는거 같은데.. 슬롯이 두개밖에 없는거라 업그레이드 하려면 하나를 빼고 큰 용량의 램을 넣어야 하는건가요? 램은 업그레이드 할 필요가 있는지.. 그리고 필요하다면 추천과 어느정도까지 업그레이드를 해야하는지 조언 부틱드립니다. 주로 사용하는 용도는 고사양 게임을 돌리고 있습니다! 바쁘실텐데 도와주시는 분들 모두 감사드립니다.,1. 표기는 저렇게 되어 있지만 현제 판매되는 최대치 4TB까지 될겁니다. 그런데 가성비로 따지면 2TB 정도가 적당하구요. 개인적으로 발열때문에 p31 추천드립니다. 작업을 하지 않는 이상 pcie 4.0짜리 쓴다고 다 뽑아 쓸 수 있는건 아니거든요. 2. 이건 본인 램 사용량을 봐야 하는거라... 평소에 느린걸 못느끼거나 가끔 많이 켰을때 작업관리자에서 램 사용률이 70%를 초과하지 않는다면 굳이 램 업그레이드를 할 필요가 없습니다. 만약 미리 하고자 한다면... 요즘 추세가 32GB긴 하죠. 축하합니다! 행운 포인트 2점을 획득하였습니다. || @미스티그 아 감사합니다. 그럼 ssd 는 2 테라 사서 사용하면 되겠군요! 그러면 램을 32 로 업그레이드 하려면 16 짜리 두개를 사서 설치하면 되는걸까요?? 혹시 추청해주실만한 램이 있을까요!
8,150으로 글카 모니터좀 추천부탁드립니다ㅠ,2024.07.03 07:14,여윳돈이 생겨서 150~160장으로 컴업글해볼까합니다 기존 qhd144 27인치모니터에 5600x 1070쓰고있었구요 조금 모니터를 멀리보다보니 27인치는 잘 안보이는것같아서 32인치모니터정도 원합니다 qhd그대로 쓰고싶은데 4k가 된다면 그것도 노려보고싶구요 배분을 어떻게 해야할지.. 무슨 제품 고를지 막막하네요 여윳돈이 더 있다면몰라도 ㅠ 게임은 명조 하고있습니다만 바꾼다면 고사양게임도 한 두번은 하지않을까싶네요 고수님들의 좋은 답변 부탁드립니다,안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * QHD 해상도 144HZ 모니터 구성을 하시는게 아니라면 QHD해상도 32인치 모니터 본체 구성 충분히 가능합니다 게임도 60HZ 방어라면 충분히 하시는데 문제는 없을 듯 합니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. || 5600x에 GTX 1070 정도 구성이고 이걸로 업글이라면 모니터 가격도 고려를 해야겠네요 음 5700x3d 정도로 CPU업글도 해주시고 파워 용량을 알수가 없긴 한데 RTX 4070 SUPER 정도 특가 뜨는거 구매하신다면 QHD 27인치 가성비 제품 구매까지 딱 하면 150 이내로 맞출 수 있을 겁니다. 명조 정도는 충분 할 겁니다.
9,rtx4080 super 견적 괜찮은지 좀 봐주세요 ㅠㅠ,2024.07.03 07:02,"친구한테 부탁해서 친구가 열심히 290(윈도우,설치비 제외)정도 견적 짜준건데 괜찮은지 선생님들의 의견이 절실히 필요합니다 ㅠㅠ",안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * DDR5 한정 삼성메모리 제품이 불량률이 높아서 추천드리지않으며 SK하이닉스 기반의 팀그룹 일반메모리 제품을 추천드립니다 ^^ 윈도우는 DSP제품을 사용하게 되면 메인보드에 정품코드가 귀속이 되어버리는 제품이기 때문에 추후 다른PC로 구성을 하시면 이동이 불가능합니다 그렇기 때문에 처음사용자용 제품 HOME 으로 변경을 해주시는게 좋습니다 ^^ || 조금 과한 것도 있고 바꿔주면 좋을 것 같은 것도 있긴 하네요
10,4090 .. 저 이대로 출격해도 되겠습니까?,2024.07.03 02:03,지금 당장 필요해서 50 시리즈 못 기다릴 것 같아가지고 급하게 짜봤는데 여기서 조금 더 가성비 챙기는 방법이 있을까요? 화이트는 고정이고 케이스는 무소음으로 따로 찾아봐야 할까 고민되네요,"To. user_975772 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 화이트 감성에 잘 어울릴 수 있도록 일부 부품을 화이트 제품으로 약간 수정하였습니다 구매에 참고해주시구요, 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! 구매 고려중이신 CPU쿨러는 CPU에 비해 조금 더 높게 잡혀있다 보여집니다, 추가하신 제품보다 체급을 조금 더 낮춰 구성하여도 충분히 안정적으로 사용이 가능하다보니 추후에 CPU 등 업그레이드를 고려하여 일부러 체급을 높게 잡으신 경우가 아니라면 낮춰 구성하여도 무방하셔요 디자인때문에 선택하신거라면 펌프 부분에 LCD가 내장된 Thermalright FROZEN WARFRAME 360 ARGB 서린 (WHITE) 제품으로 충분하겠습니다 || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * CPU쿨러 변경을 해주시면 조금 더 저렴하게 구성이 가능해 보이고 DDR5 한정 삼성메모리 제품이 불량률이 높아서 추천드리지않으며 SK하이닉스 기반의 팀그룹 일반메모리 제품을 추천드립니다 ^^ 메모리 제품은 불량률이 높아 하이닉스 OR 팀그룹 제품으로 구성을 해주시면 좋을 듯 합니다 ^^"
