회사명,직무명,링크
엔에이치엔서비스㈜ (NHN Service Corporation),[청주] NHN SERVICE 게임운영자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45291366?rPageCode=SL&logpath=21&sn=6
㈜케이제이프로퍼티,[신입/경력]㈜케이제이프로퍼티 각 부문별 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45289275?rPageCode=SL&logpath=21&sn=6
㈜넥슨네트웍스,[넥슨네트웍스] 판교센터 게임서비스 부문 채용연계형 인턴 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45247192?rPageCode=SL&logpath=21&sn=6
㈜케이앤웍스,[경력] 카카오게임즈 모바일 게임 커뮤니티 운영 담당자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45259434?rPageCode=SL&logpath=21&sn=6
㈜티맥스메타에이아이,[TmaxMetaAI] 3D/게임부문 연구개발자 (신입/경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45249622?rPageCode=SL&logpath=21&sn=6
㈜인테크코리아,(주)인테크코리아 기구설계개발 부문 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45250918?rPageCode=SL&logpath=21&sn=6
엔에이치엔㈜,2024 NHN 게임부문 공개채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45216785?rPageCode=SL&logpath=21&sn=6
㈜웹젠,2024년 웹젠 수시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45210863?rPageCode=SL&logpath=21&sn=6
㈜유모델러,유니티 엔진 개발자 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45311417?rPageCode=SL&logpath=21&sn=6
㈜서커스컴퍼니,UNITY AR/VR 개발,https://www.jobkorea.co.kr/Recruit/GI_Read/45260452?rPageCode=SL&logpath=21&sn=6
㈜토포스 스튜디오,언리얼 개발 팀장 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45226164?rPageCode=SL&logpath=21&sn=6
㈜플레이파크,게임 및 유니티개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/45214732?rPageCode=SL&logpath=21&sn=6
㈜유모델러,3D 배경 모델러,https://www.jobkorea.co.kr/Recruit/GI_Read/45103042?rPageCode=SL&logpath=21&sn=6
휴먼교육센터,[전액무료 IT취업] 파이썬/데이터분석/인공지능/풀스택(무료숙식제공),https://www.jobkorea.co.kr/Recruit/GI_Read/45285869?rPageCode=SL&logpath=21&sn=6
한국ICT인재개발원,[국비무료IT취업교육]JAVA웹앱/프론트엔드/백엔드/풀스택/빅데이터/인공지능 외 자바개발자취업교육과정/준비된 인재로 취업하기/SW융복합 인재양성 /수료전부터 취업연계매칭시스템,https://www.jobkorea.co.kr/Recruit/GI_Read/45262297?rPageCode=SL&logpath=21&sn=6
대한상공회의소 서울기술교육센터,"[전액국비,취업연계] SW 교육생모집 (풀스택, React, Docker)",https://www.jobkorea.co.kr/Recruit/GI_Read/45216360?rPageCode=SL&logpath=21&sn=6
한국스마트정보교육원,[전주 / 전액국비무료] 웹·어플 개발자 양성과정 교육생 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45027350?rPageCode=SL&logpath=21&sn=6
중앙정보기술인재개발원 중앙정보처리학원,전액무료 IT취업교육[훈련수당 지급]Java자바/백엔드/프론트엔드/풀스택/클라우드/빅데이터/인공지능AI/파이썬/국비지원과정,https://www.jobkorea.co.kr/Recruit/GI_Read/45226152?rPageCode=SL&logpath=21&sn=6
㈜스마일게이트홀딩스,[스마일게이트 엔터테인먼트] [AI센터] 음성 합성/인식 모델 개발 담당(팀장급),https://www.jobkorea.co.kr/Recruit/GI_Read/45294329?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[글로벌보안본부] 모바일 게임 취약성 진단 및 게임핵 분석 대응 담당자,https://www.jobkorea.co.kr/Recruit/GI_Read/45294102?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[인텔리전스랩스] 백엔드 개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/45294098?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[국내메이플] 게임 마케터,https://www.jobkorea.co.kr/Recruit/GI_Read/45294096?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[인텔리전스랩스] 데이터 분석가 (게임 이상탐지),https://www.jobkorea.co.kr/Recruit/GI_Read/45294093?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[메이플스토리] 게임 테크니컬 프로그래머,https://www.jobkorea.co.kr/Recruit/GI_Read/45294090?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[국내메이플] 개발 PM,https://www.jobkorea.co.kr/Recruit/GI_Read/45294089?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[인텔리전스랩스] MLOps팀 백엔드 개발자 (Python/Go),https://www.jobkorea.co.kr/Recruit/GI_Read/45294084?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[메이플스토리M] 시스템 및 콘텐츠 기획자,https://www.jobkorea.co.kr/Recruit/GI_Read/45294078?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[메이플스토리M] 게임 콘텐츠 프로그래머,https://www.jobkorea.co.kr/Recruit/GI_Read/45294072?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[메이플스토리 월드] 게임 프로그래머,https://www.jobkorea.co.kr/Recruit/GI_Read/45294066?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[마영전] 클라이언트 프로그래머,https://www.jobkorea.co.kr/Recruit/GI_Read/45291405?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[빈딕투스: 디파잉 페이트] BM 및 라이브 기획자,https://www.jobkorea.co.kr/Recruit/GI_Read/45286862?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[빈딕투스: 디파잉 페이트] 클라이언트 프로그래머,https://www.jobkorea.co.kr/Recruit/GI_Read/45286844?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[빈딕투스: 디파잉 페이트] 캐릭터 기획자,https://www.jobkorea.co.kr/Recruit/GI_Read/45286815?rPageCode=SL&logpath=21&sn=6
㈜넥슨,[빈딕투스: 디파잉 페이트] 월드 빌더,https://www.jobkorea.co.kr/Recruit/GI_Read/45286766?rPageCode=SL&logpath=21&sn=6
