회사명,직무명,링크
㈜아이엠뱅크,iM뱅크(前대구은행) 하반기 전문직(경력직) 채용공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45286148?rPageCode=SL&logpath=21&sn=6
㈜다우기술,다우기술 경력사원 대규모 인재영입,https://www.jobkorea.co.kr/Recruit/GI_Read/45268085?rPageCode=SL&logpath=21&sn=6
케이지모빌리티㈜,2024년 KG모빌리티㈜ 경력/계약직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45205515?rPageCode=SL&logpath=21&sn=6
주식회사 하나에이앤디,"가구설계 및 공무, 현장관리",https://www.jobkorea.co.kr/Recruit/GI_Read/45260640?rPageCode=SL&logpath=21&sn=6
㈜에이치에스컴,[HSCOM]스포츠 이벤트 기획연출 및 운영자 /디자이너 모집 [편집디자인/광고디자인/패키지디자인/SNS디자인],https://www.jobkorea.co.kr/Recruit/GI_Read/45296741?rPageCode=SL&logpath=21&sn=6
주식회사 룩캐스트,[패션브랜드] 룩캐스트(LOOKAST) 각 부문 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45268043?rPageCode=SL&logpath=21&sn=6
대흥코리아㈜,[하남] 영업/영업지원/온라인 MD / 디자이너 신입 및 경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45272704?rPageCode=SL&logpath=21&sn=6
플랜비컴퍼니,주문제작 키링 디자인 작업 및 고객상담 포지션 모집공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45286013?rPageCode=SL&logpath=21&sn=6
㈜와이파트너즈,"2024년 하반기 와이파트너즈 신입/경력 공채 (행정/웹디자인/UX,UI/웹개발/편집디자인)",https://www.jobkorea.co.kr/Recruit/GI_Read/45278507?rPageCode=SL&logpath=21&sn=6
㈜비스킷플래닛,(주)비스킷플래닛 공개 채용 - 웹디자인/온라인광고,https://www.jobkorea.co.kr/Recruit/GI_Read/45233296?rPageCode=SL&logpath=21&sn=6
한솔생명과학㈜,2024년 화장품 각 부문 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45291249?rPageCode=SL&logpath=21&sn=6
㈜이스트헬스케어,2024년 부문별 채용 (MD / 홈쇼핑 기획 및 운영직),https://www.jobkorea.co.kr/Recruit/GI_Read/45133401?rPageCode=SL&logpath=21&sn=6
루이비통코리아㈜,2024 LOUIS VUITTON 신입 및 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45266982?rPageCode=SL&logpath=21&sn=6
㈜사인디피,[경력]배너쇼핑몰 웹디자인 직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45311113?rPageCode=SL&logpath=21&sn=6
㈜제로식품,[제로식품] 디자이너/마케터 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45303490?rPageCode=SL&logpath=21&sn=6
대한불교조계종조계사,대한불교조계종 조계사 홍보팀 정규직 종무원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45309359?rPageCode=SL&logpath=21&sn=6
㈜미담기획,"[미담기획] 종합광고대행사 디지털 마케팅(AE), 바이럴마케팅, 웹디자이너 담당자 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45306186?rPageCode=SL&logpath=21&sn=6
㈜메이드코퍼레이션,글로벌 탑티어 F&B 브랜드의 IMC를 담당할 디지털 마케터 (팀장&팀원) 및 디자이너 채용 (재택근무),https://www.jobkorea.co.kr/Recruit/GI_Read/45308102?rPageCode=SL&logpath=21&sn=6
㈜신화푸드,[SFG신화푸드그룹] 그래픽디자이너 경력직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45307268?rPageCode=SL&logpath=21&sn=6
경성문화사,경성미디어그룹 2024년 하반기 각부문 인재 채용[세종/서울],https://www.jobkorea.co.kr/Recruit/GI_Read/45297285?rPageCode=SL&logpath=21&sn=6
㈜해커스어학원,2024년 해커스교육그룹 신입 및 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45301564?rPageCode=SL&logpath=21&sn=6
남이,경력디자이너 모집( 전시디자이너 1명),https://www.jobkorea.co.kr/Recruit/GI_Read/45303702?rPageCode=SL&logpath=21&sn=6
㈜팀모노리스,팀모노리스 프로덕트 디자이너를 채용합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45306823?rPageCode=SL&logpath=21&sn=6
㈜초이인터네셔널,SPM 디자인 책임자급 경력자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45304650?rPageCode=SL&logpath=21&sn=6
㈜십사일동안,프랜차이즈 본사 웹&시각 디자이너 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45300956?rPageCode=SL&logpath=21&sn=6
탐투스㈜,"탐투스(주) 하반기 디자이너, 기술영업 경력사원 모집공고",https://www.jobkorea.co.kr/Recruit/GI_Read/45284907?rPageCode=SL&logpath=21&sn=6
㈜폴싯,Forsit 08월 채용 [마케팅 매니저/커뮤니티 마케터/이커머스 매니저/디자이너],https://www.jobkorea.co.kr/Recruit/GI_Read/45302011?rPageCode=SL&logpath=21&sn=6
주식회사 씨티티디,"프로모션 디자이너,UX/UI 디자이너 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45305139?rPageCode=SL&logpath=21&sn=6
㈜엠알디,2024년 하반기 그래픽디자이너(패키지디자인) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45302202?rPageCode=SL&logpath=21&sn=6
닥터홈즈피부과,[급구] 신사 10년차피부과 웹디자인 & 광고기획자 경력우대,https://www.jobkorea.co.kr/Recruit/GI_Read/45299869?rPageCode=SL&logpath=21&sn=6
애드엔제이,앱개발 UXUI 디자이너 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45292052?rPageCode=SL&logpath=21&sn=6
농업회사법인㈜에스와이리테일코리아,식품 온라인쇼핑몰 MD,https://www.jobkorea.co.kr/Recruit/GI_Read/45289035?rPageCode=SL&logpath=21&sn=6
오프아워,[쇼핑몰] 온라인 파자마/잠옷 웹디자이너 경력/경력단절자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45296104?rPageCode=SL&logpath=21&sn=6
민영상사,각 부문 채용[영업관리(해외)/상품기획/웹디자인/의상디자인](9시출근-5시퇴근),https://www.jobkorea.co.kr/Recruit/GI_Read/45294855?rPageCode=SL&logpath=21&sn=6
㈜비건 제이(Vegan J.,그래픽 디자인 (뷰티/온라인) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45293823?rPageCode=SL&logpath=21&sn=6
㈜블렌드디자인,[(주)블렌드디자인] VMD 인재를 모집합니다 (COSMETIC VMD/POP/POSM/SPACE),https://www.jobkorea.co.kr/Recruit/GI_Read/45292846?rPageCode=SL&logpath=21&sn=6
㈜제뉴인그립,[경력] 웹디자이너 정직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45290102?rPageCode=SL&logpath=21&sn=6
㈜투에이치플러스,(주)투에이치플러스 각 분야 경력자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45294494?rPageCode=SL&logpath=21&sn=6
㈜스페이스틈,전시디자인(그래픽팀 및 설계팀) 신입 및 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45294074?rPageCode=SL&logpath=21&sn=6
㈜브리지테일,반려동물 스타트업 웹디자이너 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45295855?rPageCode=SL&logpath=21&sn=6
㈜플레이위드,"[정규직 채용] 인쇄 편집 디자이너 모집(포토샵, 일러스트)",https://www.jobkorea.co.kr/Recruit/GI_Read/45293525?rPageCode=SL&logpath=21&sn=6
㈜툴스피아,2024년 각 부문 채용[패키지디자인/무역부/물류관리/영업부],https://www.jobkorea.co.kr/Recruit/GI_Read/45291508?rPageCode=SL&logpath=21&sn=6
플랜식스(PLAN6),인테리어 실내건축 설계 신입 및 경력직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45291746?rPageCode=SL&logpath=21&sn=6
㈜엘씨엠코스메틱,무지개맨션 각 부문 채용공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45295083?rPageCode=SL&logpath=21&sn=6
㈜엘리스 라이팅,[엘리스라이팅] 웹디자이너 정규직 직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45295599?rPageCode=SL&logpath=21&sn=6
핫셀러,[머니쿤] 앱테크/체험단 서비스 기획자 채용 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45284990?rPageCode=SL&logpath=21&sn=6
㈜크레이버코퍼레이션,[ Craver ] 글로벌 뷰티 B2B/B2C 플랫폼 UMMA 웹 디자이너 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45285488?rPageCode=SL&logpath=21&sn=6
㈜오엠,의류 쇼핑몰 웹디자이너 경력 채용 (상세페이지/웹디자인),https://www.jobkorea.co.kr/Recruit/GI_Read/45288308?rPageCode=SL&logpath=21&sn=6
㈜멤피스,2024년 하반기 신입 및 경력사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45284778?rPageCode=SL&logpath=21&sn=6
코토이,성인용품 쇼핑몰 관리/디자인 업무 담당할 직원을 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45280172?rPageCode=SL&logpath=21&sn=6
㈜카우스토리,"(주)카우스토리 채용공고 / 웹디자이너,브랜딩디자이너,제품기획자",https://www.jobkorea.co.kr/Recruit/GI_Read/45280070?rPageCode=SL&logpath=21&sn=6
㈜식스티세컨즈,"[식스티세컨즈] 매트리스, 가구 디자이너(경력)",https://www.jobkorea.co.kr/Recruit/GI_Read/45279407?rPageCode=SL&logpath=21&sn=6
유어앤드컴퍼니㈜,의류 상품컷 리터칭 및 쇼핑몰 배너 운영 업무(포토샵 가능자),https://www.jobkorea.co.kr/Recruit/GI_Read/45288805?rPageCode=SL&logpath=21&sn=6
비즈니어코퍼레이션㈜,온라인 마케팅 디자이너 모집공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45280316?rPageCode=SL&logpath=21&sn=6
㈜국제아트,인테리어/가구 현장관리 및 설계직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45281489?rPageCode=SL&logpath=21&sn=6
(주)알텍테크놀로지스,(주)알텍 각 부문 신입 및 경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45269797?rPageCode=SL&logpath=21&sn=6
무브엔,글로벌 디자이너 채용 공고 (영어 능통자 우대),https://www.jobkorea.co.kr/Recruit/GI_Read/45244679?rPageCode=SL&logpath=21&sn=6
주식회사 중독컴퍼니,카페인중독 구매팀 상세페이지 제작 웹디자이너 모집 ( 무료구내식당 / 업계최대복지 ),https://www.jobkorea.co.kr/Recruit/GI_Read/45284509?rPageCode=SL&logpath=21&sn=6
24시 청담우리 동물병원,웹디자이너 업무 담당자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45281954?rPageCode=SL&logpath=21&sn=6
에끌라두,[디자이너] 에스테틱 브랜드 디자이너 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45281230?rPageCode=SL&logpath=21&sn=6
㈜오리고코리아,2024년 하반기 부서별 채용 (웹디자인/제품디자이너/물류관리/생산관리),https://www.jobkorea.co.kr/Recruit/GI_Read/45281726?rPageCode=SL&logpath=21&sn=6
고동컴퍼니,(주)고동컴퍼니 브랜드 디자이너 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45281893?rPageCode=SL&logpath=21&sn=6
㈜디에스피앤피,㈜DSP&P에서 신입&경력 디자이너/3D 모델러 모집합니다. (야근 없음),https://www.jobkorea.co.kr/Recruit/GI_Read/45280378?rPageCode=SL&logpath=21&sn=6
㈜모델디렉터스,"[각 부문별 채용] 해외모델 발굴 / 매니지먼트 / 세일즈 / 컨텐츠팀(포토, 그래픽디자이너) / 전략기획팀(기획, 비서) / 경영지원(재무, 회계, 총무)",https://www.jobkorea.co.kr/Recruit/GI_Read/45271203?rPageCode=SL&logpath=21&sn=6
GS리테일,[GS리테일] 플랫폼BU 상품운영팀 디자이너 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45265340?rPageCode=SL&logpath=21&sn=6
㈜케이앤웍스,[케이앤웍스] 카카오 서비스 운영 디자이너 영입,https://www.jobkorea.co.kr/Recruit/GI_Read/45268811?rPageCode=SL&logpath=21&sn=6
