회사명,직무명,링크
㈔경기도외투기업협의회,2024 하반기 인터코스코리아 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45301219?rPageCode=SL&logpath=21&sn=6
케이지모빌리티㈜,2024년 KG모빌리티㈜ 경력/계약직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45205515?rPageCode=SL&logpath=21&sn=6
㈜핸드허그,[젤리크루] 온라인 MD 채용 - 입출고/셀러관리 등(크리에이터 플랫폼파트),https://www.jobkorea.co.kr/Recruit/GI_Read/45290576?rPageCode=SL&logpath=21&sn=6
앨트웰㈜,2024년 앨트웰(주) 생활/리빙 소싱MD 경력직 채용공고,https://www.jobkorea.co.kr/Recruit/GI_Read/45293721?rPageCode=SL&logpath=21&sn=6
㈜엘라고,elago 2024 하반기 부서별 채용 (제품디자인/해외마케팅/해외영업/브랜드전략MD/구매팀),https://www.jobkorea.co.kr/Recruit/GI_Read/45291736?rPageCode=SL&logpath=21&sn=6
㈜에넥스텔레콤,각 부문별 직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45293604?rPageCode=SL&logpath=21&sn=6
루키버드,여성의류 쇼핑몰 [온라인 MD] 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45264530?rPageCode=SL&logpath=21&sn=6
제이원인터,온라인광고 어시스턴트 보조 채용 (온라인MD 및 AMD 경력 우대),https://www.jobkorea.co.kr/Recruit/GI_Read/45184989?rPageCode=SL&logpath=21&sn=6
㈜콘치웨어,㈜콘치웨어 [스타일리시 애슬러룩] 패션스타일리스트/패션MD/디렉터 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45189406?rPageCode=SL&logpath=21&sn=6
㈜긱,매장관리 / 온라인마케팅 / 상품기획 BM 부문별 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45284237?rPageCode=SL&logpath=21&sn=6
쌍계명차㈜,[쌍계명차] 온라인 쇼핑몰 MD 경력직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45269002?rPageCode=SL&logpath=21&sn=6
㈜오구본가,[본사 슈퍼바이저 채용 모집],https://www.jobkorea.co.kr/Recruit/GI_Read/45279843?rPageCode=SL&logpath=21&sn=6
성율코퍼레이션,[쇼핑몰] 2024 하반기 미디어커머스 영상 PD / 운영지원 매니저 / 회계 담당자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45280734?rPageCode=SL&logpath=21&sn=6
대흥코리아㈜,[하남] 영업/영업지원/온라인 MD / 디자이너 신입 및 경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45272704?rPageCode=SL&logpath=21&sn=6
㈜퀸즈코퍼레이션,[디너의여왕] 서비스 운영/영업 분야별 채용(신입/경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45239296?rPageCode=SL&logpath=21&sn=6
엘리시아,회사와 성장할 유능한 온라인 MD를 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45202766?rPageCode=SL&logpath=21&sn=6
한솔생명과학㈜,2024년 화장품 각 부문 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45291249?rPageCode=SL&logpath=21&sn=6
㈜이스트헬스케어,2024년 부문별 채용 (MD / 홈쇼핑 기획 및 운영직),https://www.jobkorea.co.kr/Recruit/GI_Read/45133401?rPageCode=SL&logpath=21&sn=6
㈜웅진씽크빅,[웅진씽크빅] 각 부문 경력 인재 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45283746?rPageCode=SL&logpath=21&sn=6
루이비통코리아㈜,2024 LOUIS VUITTON 신입 및 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45266982?rPageCode=SL&logpath=21&sn=6
(주)코스알엑스,[글로벌 뷰티 브랜드] 코스알엑스 '24년 하반기 경력 및 신입사원 수시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45286221?rPageCode=SL&logpath=21&sn=6
㈜더퍼스트터치,24년 하반기 공개채용(이커머스 온라인 MD / SCM / 마케팅 / 상품기획),https://www.jobkorea.co.kr/Recruit/GI_Read/45123786?rPageCode=SL&logpath=21&sn=6
㈜해성인터내셔날,[영업관리/선별관리/해외영업/재고관리] 신입 및 경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45313018?rPageCode=SL&logpath=21&sn=6
㈜브리지테일,반려동물 스타트업 온라인 MD 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45312709?rPageCode=SL&logpath=21&sn=6
㈜크러시제이,여성의류 쇼핑몰 MD 신입/경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45312377?rPageCode=SL&logpath=21&sn=6
㈜비비월드,[경력] 쇼핑몰 MD/ 온라인마케터 각 분야 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45312148?rPageCode=SL&logpath=21&sn=6
㈜오씸코리아,백화점 매장 및 매니저 관리 - 영업관리자 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45309441?rPageCode=SL&logpath=21&sn=6
㈜포트로얄글로비스,온라인사업부 MD 정규직 (대리-과장급) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45308142?rPageCode=SL&logpath=21&sn=6
㈜뉴키즈온,[뉴키즈온] 온라인 쇼핑몰 MD 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45309894?rPageCode=SL&logpath=21&sn=6
나이스신용정보㈜,[나이스신용정보] 채권관리 콜센터 관리자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45304662?rPageCode=SL&logpath=21&sn=6
㈜휴비츠,㈜휴비츠 해외영업 경력직원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45296762?rPageCode=SL&logpath=21&sn=6
도반 한방병원,2024년 도반 한방병원 통합의학센터 상담팀 실장 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45305505?rPageCode=SL&logpath=21&sn=6
㈜마른파이브,"[커머스/성수동] 글로벌 수출 및 커머스 MD 정규직 (해외 영업 수출 아마존, 쇼피 등 커머스 담당)",https://www.jobkorea.co.kr/Recruit/GI_Read/45307697?rPageCode=SL&logpath=21&sn=6
제이에이치팜스,식음료 파트 MD채용 경력직 우대,https://www.jobkorea.co.kr/Recruit/GI_Read/45305617?rPageCode=SL&logpath=21&sn=6
㈜마리앙,㈜마리앙 여성의류 매장 경력직 사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45303198?rPageCode=SL&logpath=21&sn=6
㈜마른파이브,[커머스/쇼핑몰] 온라인 채널 MD 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45307702?rPageCode=SL&logpath=21&sn=6
㈜KB손해보험,KB손해보험 다이렉트 자동차 상담직원 및 업무지원 직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45302771?rPageCode=SL&logpath=21&sn=6
㈜예스런던,아디다스골프 영업/영업관리 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45304085?rPageCode=SL&logpath=21&sn=6
