회사명,직무명,링크
㈔경기도외투기업협의회,2024 하반기 인터코스코리아 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45301219?rPageCode=SL&logpath=21&sn=6
㈜케이씨씨,[KCC] 2024년 8월 신입(석박사)/경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45292956?rPageCode=SL&logpath=21&sn=6
로지스올그룹,로지스올 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45261820?rPageCode=SL&logpath=21&sn=6
쿠팡 주식회사,[연3300가능]쿠팡 플렉스어시스턴트(현장운영/관리/학력경력무관),https://www.jobkorea.co.kr/Recruit/GI_Read/45239909?rPageCode=SL&logpath=21&sn=6
쿠팡로지스틱스서비스,[월 최대 340만 가능/경력무관]쿠팡CLS 모바일캠프리더(MCL)채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45239873?rPageCode=SL&logpath=21&sn=6
㈜이랜드건설,[이랜드건설] 2024년 이랜드건설 정규직 경력사원 상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45173252?rPageCode=SL&logpath=21&sn=6
(유)디오니엘앤비,[연3800이상] 주류유통기업 디오니L&B 배송영업 채용(정규직),https://www.jobkorea.co.kr/Recruit/GI_Read/45286384?rPageCode=SL&logpath=21&sn=6
㈜트랜스물류,"[신입,경력] 배차/전산입력, 오더관리, 거래처관리",https://www.jobkorea.co.kr/Recruit/GI_Read/45278593?rPageCode=SL&logpath=21&sn=6
윌헴슨협운포트서비스㈜,"[외국계투자기업] 오퍼레이터 / Documentation 업무 담당자 채용(인천, 울산)",https://www.jobkorea.co.kr/Recruit/GI_Read/45281234?rPageCode=SL&logpath=21&sn=6
주식회사 HOONY FNB,[경력] 외식프랜차이즈 홍대개미 물류/구매 경력직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45285293?rPageCode=SL&logpath=21&sn=6
㈜티코스,(주)티코스 영업부 및 영업관리 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45278549?rPageCode=SL&logpath=21&sn=6
㈜부민,[(주)부민더블유엔피] 경영지원 구매팀 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45210461?rPageCode=SL&logpath=21&sn=6
㈜홀라이프,(주)홀라이프 물류부 직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45280593?rPageCode=SL&logpath=21&sn=6
㈜우진플라임,(주)우진플라임 부문별 인재채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45255227?rPageCode=SL&logpath=21&sn=6
쌍계명차㈜,[쌍계명차] 구매업무 경력직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45204484?rPageCode=SL&logpath=21&sn=6
㈜웅진씽크빅,[웅진씽크빅] 각 부문 경력 인재 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45283746?rPageCode=SL&logpath=21&sn=6
㈜더퍼스트터치,24년 하반기 공개채용(이커머스 온라인 MD / SCM / 마케팅 / 상품기획),https://www.jobkorea.co.kr/Recruit/GI_Read/45123786?rPageCode=SL&logpath=21&sn=6
유센로지스틱스코리아㈜,항공수출입 인천공항 업무 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45310556?rPageCode=SL&logpath=21&sn=6
㈜세종어패럴,[야간] 동대문 뉴존상가 도매 창고 물류관리 정규직 채용(신당역),https://www.jobkorea.co.kr/Recruit/GI_Read/45313355?rPageCode=SL&logpath=21&sn=6
㈜일미농수산,[㈜일미농수산/㈜일미] 각 부문별 직원채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45305369?rPageCode=SL&logpath=21&sn=6
쿠팡풀필먼트서비스(유),[CFS 쿠팡] 고양센터 현장관리자 Team Captain 채용 (정규직),https://www.jobkorea.co.kr/Recruit/GI_Read/45308026?rPageCode=SL&logpath=21&sn=6
㈜명진로직스,삼성전자 서비스센터 자재물류 물류사원(입.출고/피킹/분류 등) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45308368?rPageCode=SL&logpath=21&sn=6
㈜해성인터내셔날,[영업관리/선별관리/해외영업/재고관리] 신입 및 경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45313018?rPageCode=SL&logpath=21&sn=6
구미유통,구미유통 스타렉스차량 운전 자판기 관리 납품 직원채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45312549?rPageCode=SL&logpath=21&sn=6
㈜시크한(SEEKHAN),[수출사업부] (주)시크한(SEEKHAN) 2024 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45308308?rPageCode=SL&logpath=21&sn=6
㈜엠오유통,SCM 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45312104?rPageCode=SL&logpath=21&sn=6
