회사명,직무명,링크
㈔경기도외투기업협의회,2024 하반기 인터코스코리아 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45301219?rPageCode=SL&logpath=21&sn=6
현대오일뱅크㈜,[HD현대이앤에프] 생산전문직 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45293926?rPageCode=SL&logpath=21&sn=6
현대오일뱅크㈜,ePTFE 분리막 생산 계약직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45293849?rPageCode=SL&logpath=21&sn=6
㈜토비스,㈜토비스 2024년 하반기 신입·경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45287185?rPageCode=SL&logpath=21&sn=6
스템코㈜,스템코㈜ 8월 사무ㆍ기술직 신입/경력 채용 (재경/설계/개발),https://www.jobkorea.co.kr/Recruit/GI_Read/45271096?rPageCode=SL&logpath=21&sn=6
로지스올그룹,로지스올 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45261820?rPageCode=SL&logpath=21&sn=6
로지스올그룹,로지스올시스템즈 신입/경력사원 채용 (IT시스템 개발),https://www.jobkorea.co.kr/Recruit/GI_Read/45261808?rPageCode=SL&logpath=21&sn=6
현대건설,현대건설 연구개발 (R&D) 분야 경력 연구원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45259389?rPageCode=SL&logpath=21&sn=6
케이지모빌리티㈜,2024년 KG모빌리티㈜ 경력/계약직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45205515?rPageCode=SL&logpath=21&sn=6
㈜신진금고,기구설계 개발팀 모집 (판금금형 설계자 우대.공장장급),https://www.jobkorea.co.kr/Recruit/GI_Read/45287285?rPageCode=SL&logpath=21&sn=6
㈜금강주택,㈜금강주택 경력직원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45291729?rPageCode=SL&logpath=21&sn=6
㈜나인벨,"[복지우수] 자동화장비 기구설계 , 전장설계 경력직 채용 (설계엔지니어)",https://www.jobkorea.co.kr/Recruit/GI_Read/45220890?rPageCode=SL&logpath=21&sn=6
