사람인-커리어,,,,,,,,,
작성일,조회수,커뮤니티명,질문 제목,질문 내용,답변 1,답변 2,답변 3,답변 4,답변 5
2024.07.29,243,사람인-커리어,신입이 저보다 연봉이 높아요.,"치과 디자인 마케팅으로 일하고 있는데, 저는 연봉이 2800 정도 됩니다. 일한지 6개월이 되었고, 신입이 들어온지 3개월 차 되는데 연봉이 4천이더라고요. 세후 300을 받고 있는데 마케팅 경력도 없고, 아예 쌩신입이 연봉 4천을 받고 있다는 사실을 몰랐다가 어쩌다 알게되었는데, 멘붕이 오네요. 말이 안되는 소리인데 전남대 나오고 마케팅 관련 자격증 3개, 컴활 1급이 전부라고 하는데 저는 포폴과 웹디 자격증, 데이터전문가 자격증 경력 1년입니다. ㅠㅠ 어떻게 이렇게 될수가 있죠 저희가 능력별 연봉 협상인데도 신입이 4천이라 말이 안되네요",안녕하세요^^ 한 10년전까지만해도 임금테이블이 정해져 있는 회사들은 좋은 역량을 갖추어도 연수를 채우지 못하면 연봉이 거기서 거기였죠 솔직히 지금 이 시대에서는 본인의 역량을 잘 어필해서 연봉을 잘 책정 받는게 관건입니다. 솔직히 말씀드리면 남탓으로밖에 보이지 않아 너무 안타깝네요 회사는 멍청이가 아닙니다 그 직원에게 연봉 4천을 준 이유가 있을것인데 그 부분부터 먼저 파악을 하시는게 좋지 않을까 싶네요,사실 그럴 수도 있습니다. 연봉이라는게 누구랑 협상하고 어떤 전략을 가져오는가에 따라서 연봉이 상당하게 차이가 크드라구요. 이걸 근거 삼아 다음 연봉 때 본인의 포트폴리오와 지금 현재 입사하고 계신 분들의 연봉 현황을 비교해서 연봉 테이블에 근거 자료로 올리시는 걸 추천을 드리고 싶습니다.,대졸과 고졸의 차이일까요 정규와 계약직의 차이정도로 느껴지네요 직군의 차이가 있는지 확인해보심 좋을 것 같습니다. 신입이라도 학력으로 신분을 가르기도하니까요 석사 등 대학원 출신일수도 있고요 조건도 같고 다를게없으면 연봉협상 다시하여야죠 본인에게 박한 연봉을 줘도 만족하고 다니니 신입수준의 급여도 못받고 있는게 아닌가싶습니다. 자발적인 하향지원이 문제인것같습니다. 전남대니 조건으로 연봉4천은 제시했을테니 협상되었을거고 본인 급여책정시 어떤과정이있었는지 확인한번해보심 좋을 것 같습니다. 주먹구구로 협상에 의존하는지 자격이나 학력 등 명확한 구분기준이 있는지 따져봐야할 것 같습니다. 참고하셔서 좋은 연봉조정 하시기 바랍니다. 화이팅하세요!,,
2024.07.29,144,사람인-커리어,인사 2년차 커리어 고민입니다,"1. 업계에서 오래된 안정성이 가장 큰 장점인 평균근속 20년인 제조업 회사(정규직, 사원200명내와)와 2. 업계 안정성은 떨어지지만 교육테크 스타트업(계약직, 사원100명내외) 중에서 어디로 이직할지 고민중입니다. 주니어 레벨이고 개인역량강화 목적이 가장 큰 이유로 이직 결심했습니다. 채용공고만 보면 두 곳 모두 급여를 주업무로 보상, 채용, 교육 등을 경험할 수 있다고 되어있습니다. 지금 시점에서 어느 곳으로 들어가야 다양한 경험을 쌓으며, 어떻게 커리어를 쌓아 가야할지 모르겠습니다. 1번 회사가 고민 되는 이유는 아무래도 근속연수가 오래된 분들이 많다보니 인사, 총무 직무로서 제도개선, 복지문화 도입 등과 같은 경험은 하기 힘들어 보여서 고민됩니다. 조언 부탁드립니다.","저는 2년차라면 아직은 체계가 잡혀있는 제조업 회사에서 경력을 더 쌓을 것 같아요. 비효율적이고 도전이 제약되는 듯한 그런 환경이, 20년이란 긴 기간동안 쌓인 노하우일 수도 있거든요. 제가 2년차 시절로 돌아간다면 특정 직무에 대한 기본기를 지금 회사에서 1년 정도는 더 가지시면서, 2번 회사 외에도 더 좋은 도전환경과 안정성을 제공하는 기업을 물색해볼 것 같아요. 잘 고민해보시길 바랍니다!",,,,
2024.07.28,82,사람인-커리어,멘토링매치로 상담해주고 대화 끝나면 언제 커리어 마일리지 들어오나요?,커리어 마일리지가 안들어왔던데 하루정도 지나야 받을 수 있나요? 대화는 끝났고 별도 5개 받았는데 쿠폰이 너무 마렵네요,대화 끝나고 5일 정도 지나면 마일리지가 들어왔어요! 오늘 끝내셨으면 아마 6일 저녁 또는 대화 끝난 시간 기준으로 마일리지 들어올 것 같네요! 멘토 활동 파이팅입니다ㅎㅎ,,,,
2024.07.28,200,사람인-커리어,이직 고려중입니다,"현재 기구설계 직무로 근무중인 5년차 연구원입니다. 현재는 구동부가 없는 제품의 전반적인 것을 설계하고 있는데, 5년차가 되니 구동부가 있는 제품의 기구설계가 하고 싶습니다. 구동부 설계한 경험이 거의 없는데, 경력직으로 원하는 일을 할 수 있는 곳으로 이직이 가능할까요? 이직 경험이 없어서 여쭤봅니다.","안녕하세요, '상담 3년차 Ai 라온'입니다. 연구원님의 이직 고려 상황에 대해 말씀해주셔서 감사합니다. 구동부가 있는 제품의 기구설계로 이직을 희망하시는군요. 경력직으로서 새롭게 도전하고 싶은 분야가 없는 경험이다 보니 걱정이 되실 거라 생각됩니다. 현재는 구동부 없는 제품 설계 경험이 있으므로, 이를 바탕으로 구동부 설계 업무의 유사성을 강조하는 것이 좋습니다. 또한, 구동부 설계에 필요한 지식이나 기술을 사전에 학습하시며 이직 준비를 하는 것도 좋은 방법입니다. 직무 관련 교육이나 자격증, 프로젝트 참여 등을 통해 관련 경험을 쌓는 것도 고려해 보세요. 이직 시기를 서두르지 않고 체계적으로 준비하시면 분명 원하시는 기구설계 직무를 가지고 이직할 수 있는 기회를 잡을 수 있을 겁니다. 기회를 넓히기 위해 관련 분야의 네트워크를 활용하는 것도 도움이 될 수 있습니다. 화이팅하세요!",,,,
2024.07.28,154,사람인-커리어,어떤 전공을 택해야할까요?,대학교 졸업후 1년 회사 다니다가 3년 공무원 준비 실패후 대략 3년정도 현재회사 다니면서 대학원 공부하고 있습니다.(대학원은 이번년도가 끝) 현재 회사는 시에서 위탁운영하고 있는회사입니다. 작년 겨울에 결혼해 내년에2세를 계획하고 있는데 저까지 여자두명에 남자직원이 전부입니다. 육휴를 제대로 줄지도 고민이고 전공 직무분야를 2명이서 진행하는데 중간직책이 없어 거의 제가 업무를 다하여 자주 야근을 하고 휴가 다녀오면 해결해주는 사람없이 야근해서 일을 끝내야합니다. 전공분야 자체가 일이 많아 이직보다는 전공을 바꾸고 싶다가도 경력이 아깝기도 하고 상황도 그렇고 나이도 29세로 고민이 됩니다.. 지금 회사를 그냥 다닐지 아니면 보건관리자나 카페직원으로 일을 할지 너무 고민이 됩니다ㅠㅠ조언 부탁드립니다!,"안녕하세요. 물류컨설팅 직무 재직 중인 프로 아이워너굿컴퍼니입니다. 어떤 커리어를 보유하고 계신지는 잘 모르겠으나 대학원을 다니시며 커리어 관리에 관심이 있으신 븐인 것으로 보아 일반 사무직보다는 연구직 등 전문 지식을 필요로 하는 직종으로 판단됩니다. 직무에 대해서 본인을 대체할 사람이 없을 경우 업무에 대한 공백 시기에 문제가 발생할 수 있습니다. 시간이 들더라도 현재 팀원들이 자신을 대체할 수 있는 사람으로 키우는 것이 중요해보이며, 필요시 인력충원도 적극적으로 어필해보셨으면 좋겠습니다. 정보만 확실하다면 다른 회사로 떠나는 것도 하나의 방법이 될 수 있겠습니다.",회사에서 출산 후에 자리를 보장해줄지가 의문인거 같습니다. 그러니 보건관리자는 아무래도 직무의 전문성이 있다 보니 출산 후에도 얼마든지 회사를 다니시기에 무리가 없어 보입니다. 그 쪽 방향에서 전문성을 기르는 방법을 추천을 드리고 싶습니다. 카페 직원도 전문성이 그다지 필요없는 직무라 비교하자면 보건관리자를 추천드립니다.,,,
2024.07.27,227,사람인-커리어,연봉협상 망했어요,"근로계약서 보지도 않고 볼 줄도 모르고 그냥 사인만 하다가 작년 10월 연봉얘기를 했는데요 연봉협상하는 시기에 말하라해서 10개월을 기다렸는데 다 망했어요 연봉협상이 전 무슨 협상하는건줄알았는데 통보에 상대측은 저에 대해서 알지도 못하고 나와 어디부터, 뭐부터 말해야할지도 모르는 상태 굉장히 최악인 하루였어요 해당 부서에 대해 무시하는 뉘앙스의 말이나 태도도 별로였어요 이런 곳에서 저만 열일하면 그만인건지, 미래가 없는 곳인지 판단이 안서요 연봉인상도 안돼, 경력인정도 안돼, 드린 글도 안 읽어봐, 최악의 최하인 날이에요","안녕하세요. 물류컨설팅 직무 재직 중인 프로 아이워너굿컴퍼니입니다. 연봉협상의 과정에서 자신의 기대와 회사의 평가가 맞지 않는 경우가 많이 있습니다. 그 원인은 회사의 불합리한 평가구조가 있을 수도 있으나, 자신의 객관성이 떨어지는 것이 원인일 수도 있겠습니다. 자신의 경력과 능력, 혹은 잠재력을 적어보시고 회사 평가기준에 맞게 수치화해보는 것을 시도해보세요. 처음에는 추상적으로 생각이 들고 기준도 모르겠다 싶겠지만 어느순간 싱크가 맞고 내 논리가 생기게 되면 추후 연봉협상에서는 해당 부분을 논리적으로 어필하여 좋은 협상결과를 도출할 수 있습니다.",사실 연봉 협상은 말그대로 통보로 하는 회사들이 즐비합니다. 특히 신입인 경우에는 더욱 그렇구요. 회사에서 충분한 입장이나 위치에 있지 않는 한 회사에 끌려가기 십상입니다. 연봉을 올리는 건 차라리 이직을 통해서 자신의 몸값을 올리는 게 오히려 더 좋은 성과물을 올리는데 도움이 될 수도 있어요.,,,
2024.07.27,64,사람인-커리어,웹개발 vs EMR개발,안녕하세요 현재 회사에서 웹개발하고있는 1년차입니다 예전부터 EMR산업에 관심이있었는데 어디서 정보를 구할지 모르겠네요.. 첫직장을 웹개발오게된것도 한국에선 자바 수요가 젤많고 웹개발이 대우좋다해서 왔거든요 (업종에 딱히 신경안썼음) 근데 요즘엔 예전부터 가고싶었던 EMR개발이 좀 생각나기도하고 가고싶은 기업도 있어서 생각이 자꾸 나네요 선배님들이 보셨을때는 두 산업 다 큰차이가 없을지 궁금합니다 젤 걱정되는건 괜히 업종틀었다가 연봉도 복지도 기술력도 다 짬뽕될까봐 입니다.. EMR은 C#을 많이쓰는거같더라구요 개발언어가 변경되는것도 큰 타격이있을까요??,"안녕하세요, 상담 3년차 Ai 라온입니다. 웹개발과 EMR 개발 사이에서 고민이시군요. 우선, 두 분야 모두 전망이 밝으나 각각의 특성과 수요가 다릅니다. EMR(전자의료기록) 개발은 헬스케어 산업에서 중요한 부분으로, 더욱 성장할 가능성이 높습니다. 정보를 얻고 싶으시다면, 관련 컨퍼런스나 세미나에 참여하시거나, 헬스케어 IT 관련 커뮤니티와 포럼을 활용해 보세요. 언어 변경의 경우, Java에서 C#으로의 전환은 초기에 학습 곡선이 요구되지만, 기본적인 프로그래밍 원리는 유사하여 비교적 적응하기 수월할 것입니다. 직업을 변경하는 것이 잠재적으로 위험할 수 있지만, 관심과 열정이 있는 분야라면 장기적으로 더 큰 만족과 성장을 경험할 수 있습니다. 무엇보다 직업 선택은 개인의 우선 순위와 가치관에 따라 결정되어야 하니, 잘 고민해 보시고 결정하시기 바랍니다.",,,,
2024.07.27,22,사람인-커리어,제가 업무를 겉핥기식으로 하고 있는 건가요?,"저의 주 업무는 급여관리이며 그에 수반되는 모든 업무들을 5년째 담당하고 있습니다 자세하게 얘기하자면 신규입사자의 근로계약서 및 기타서류 작성은 제가 하고 있지만 연봉 책정은 팀장님께서 전달받아서 그대로 안내하고 있고 급여항목에서 과세/비과세 구분, 4대보험 정산, OT수당 산정 정도만 직접하고 있고 상여 지급이나 그 외 특이이슈로 지급되는 금액들은 팀장님이 직접 안 작성 후 임원분들께 보고하고, 저는 금액만 전달받아서 처리하는 작업만 담당하고 있습니다 현재 회사에서 퇴사 면담을 했는데 인사기획,노무 업무 등을 받고 싶다고 말씀드렸더니(이미 그 업무담당이 있습니다) 그런 업무들을 하기엔 제가 하고 있는 급여업무가 겉핥기 식으로 하고 있다는 것 같답니다.. 사실 자세하게 얘기해주진 않아서 이해가 가질 않습니다 급여규정을 좀 더 자세하게 파악하고 있어야 한다는 뜻인 걸까요? 사실 급여업무가 이슈가 발생하지 않는 이상 루틴업무라고 생각되고 그외 이슈가 발생할 때는 급여관련 법령을 점검/검토하고 상시 팀장님께 의논 드리고 있긴 합니다 여기서 인사기획, 노무 업무로 디벨롭 되려면 급여업무를 할때 뭘 더 검토해야 되는 걸까요?",답변 없음,,,,
2024.07.27,194,사람인-커리어,어떤 회사를 가야할지 모르겠어요,안녕하세요 34살 여자입니다 경리 경력은 2년이고 급여.기장 했었습니다. 부가세나 결산은 안했습니다 이번에 퇴사하고 면접 본 2군데서 합격을 했습니다 한군데는 기업 순위가 높은 버스회사인데요 인원이 엄청 많다보니 급여만 하는 급여담당입니다 다른건 아에 안하구요 9시출근 6시 퇴근입니다 연봉은 3000만원 이상이라 하셨는데 3000만원으로 책정 될거같고 식당은 구내식당이 있습니다 거리는 30분~40분 걸립니다 다른 한군데는 사업장을 4개 가진 건설업및 통신공사 회사입니다. 가족 회사이구요 업무는 이것저것 다합니다 급여도 하고 더존도 쓰고 결산도 합니다 8시30분 출근 5시30분퇴근이구요 식사는 지원은 해주는데 지정된 뷔페가서 먹어야 하구요 사무실내에 화장실이 있어 청소를 한달에 한두번 한다고 합니다.. 거리는 25분정도 걸립니다 6주에 한번 주말 근무가 있구요 연봉은 2880만원이고 3개월뒤 올린다고 하는데 3000만원 예상합니다 보통 직원들 급여가 그렇게 높지 않은듯 합니다. 급여에 연차수당이 녹아져 있다고 하는데 잘 모르겠습니다.. 어디로 가야할지 한업무만 해서 다른곳에 또 이직하게된다면 도움이 될지.. 건설업쪽 경리에서 다른곳을 가게 될때도 도움이 될지 고민입니다 ㅠㅠ 여러분들이라면 어찌 하시겠나요..ㅠㅠ,가족회사는 현재 이미지가 많이 안좋습니다 물론 개중엔 괜찮은 회사도 있겠지만 대체로 이미지가 안좋아요.. 그리고 연봉에 연차수당이 녹아져 있다고 했다는데 제가보기엔 연차수당 안주려고 하는듯 보이네요 기본적으로 연차수당은 급여와는 별개로 사용하지 않은 연차에 대해 지급해야되는거로 알고 있거든요,첫번째 회사 가세요~ 가족회사응 가는거 아닙니다.,,,
2024.07.27,129,사람인-커리어,신입이 저보다 연봉이 높아요.,"치과 디자인 마케팅으로 일하고 있는데, 저는 연봉이 2800 정도 됩니다. 일한지 6개월이 되었고, 신입이 들어온지 3개월 차 되는데 연봉이 4천이더라고요. 세후 300을 받고 있는데 마케팅 경력도 없고, 아예 쌩신입이 연봉 4천을 받고 있다는 사실을 몰랐다가 어쩌다 알게되었는데, 멘붕이 오네요. 말이 안되는 소리인데 전남대 나오고 마케팅 관련 자격증 3개, 컴활 1급이 전부라고 하는데 저는 포폴과 웹디 자격증, 데이터전문가 자격증 경력 1년입니다. ㅠㅠ 어떻게 이렇게 될수가 있죠 저희가 능력별 연봉 협상인데도 신입이 4천이라 말이 안되네요",안녕하세요^^ 한 10년전까지만해도 임금테이블이 정해져 있는 회사들은 좋은 역량을 갖추어도 연수를 채우지 못하면 연봉이 거기서 거기였죠 솔직히 지금 이 시대에서는 본인의 역량을 잘 어필해서 연봉을 잘 책정 받는게 관건입니다. 솔직히 말씀드리면 남탓으로밖에 보이지 않아 너무 안타깝네요 회사는 멍청이가 아닙니다 그 직원에게 연봉 4천을 준 이유가 있을것인데 그 부분부터 먼저 파악을 하시는게 좋지 않을까 싶네요,사실 그럴 수도 있습니다. 연봉이라는게 누구랑 협상하고 어떤 전략을 가져오는가에 따라서 연봉이 상당하게 차이가 크드라구요. 이걸 근거 삼아 다음 연봉 때 본인의 포트폴리오와 지금 현재 입사하고 계신 분들의 연봉 현황을 비교해서 연봉 테이블에 근거 자료로 올리시는 걸 추천을 드리고 싶습니다.,대졸과 고졸의 차이일까요 정규와 계약직의 차이정도로 느껴지네요 직군의 차이가 있는지 확인해보심 좋을 것 같습니다. 신입이라도 학력으로 신분을 가르기도하니까요 석사 등 대학원 출신일수도 있고요 조건도 같고 다를게없으면 연봉협상 다시하여야죠 본인에게 박한 연봉을 줘도 만족하고 다니니 신입수준의 급여도 못받고 있는게 아닌가싶습니다. 자발적인 하향지원이 문제인것같습니다. 전남대니 조건으로 연봉4천은 제시했을테니 협상되었을거고 본인 급여책정시 어떤과정이있었는지 확인한번해보심 좋을 것 같습니다. 주먹구구로 협상에 의존하는지 자격이나 학력 등 명확한 구분기준이 있는지 따져봐야할 것 같습니다. 참고하셔서 좋은 연봉조정 하시기 바랍니다. 화이팅하세요!,,
