작성일,커뮤니티명,질문 제목,질문 내용,답변 1,답변 2,답변 3,답변 4,답변 5
2024.08.01 작성,사람인-자소서,인턴경험없는 신입 냉정하게..,"인서울 디자인과입니다.. 지금 벌써 25살인데, 19년도에 입학해서 2년이나 초과한 셈이에요.. 물론 반수하느라 중간에 좀 밀리긴 했지만 반수도 예비받고 떨어져서 의미없고요... 부전공하긴 했지만 다전공도 아니라 무의미하고.. 그런데도 인턴경험은 없고 학교다니면서 한 활동은 1.uiux관련 교내외 프로젝트 8회(사실상 학교수업+약간의 공모전) 2.디자인 관련 자격증 3개 3.제각각 분야에서 (텍스타일..기획.. 프로젝트 수료만하면 거의 다주는거 등등 이상한거 다섞여서 전문성 애매) 수상5회 4.앱개발 동아리2회(디자이너, 기획 한번씩) 하나는 교내동아리, 하나는 카카오 협업사같은곳 주최 5.기업협업프로젝트 디자인파트장&조장 1회 (나름 경쟁률이 있다곤하지만 돈내고한 활동이라...의미없게 쳐줄것같아요..) 6.위인 기념관같은곳에서 서포터즈 7. 사진관 컨텐츠디자인 알바, 영어학원 표지디자인 알바...1달씩 단기 8.영상동아리 미술감독(이딴건진짜 왜했었는지...) 9.해커톤 2회 기획이나 pm, uiux 디자이너 관련해서 하반기부터 인턴이나 취준하려하는데 사실 회사일경험이 없고 교내외활동만 일관성없이 진짜 이것저것 벌려놓기만 했거든요.. 25살인데 일경험은 없고, 대부분 어린 진짜 갓 학생들이나 할법한 경험들로만 한 일들이 구성되어와서.. 이런스펙으로 냉정하게 대기업은 힘들겠죠? 인턴이라도 쌓고와야 뽑아주겠죠?... 회사는 열심히 산사람이 아니라 같이 일할사람 뽑는다고들 하잖아요 그렇게생각하면 저는 직무경험이 없는 부족한 지원자 상태고... 근데 누구는 신입은 어짜피 가르쳐야하는 존재니까 포폴로 실력검증만 되면 된다고 말해서 조금 희망도 가지게되네요.. 열심히 쉬는틈 없이 살아오긴했는데 활동 구성이 완전 전략도 없고 그냥 대학생 수준.. 이나이면 조금이라도 회사일을 해봤어야할까요... 25살인데도 이력서에 쓸만한게 이런 자잘한 대학생수준의 대내외활동뿐인데 하반기에 대기업공채 노려보는게 현실적으로 의미가 있을까요?...",지금 경력이 없다면 경력을 쌓는 걸 추천을 드립니다. 회사의 규모와 관계 없이 계약직이나 육아휴직 대체자 자리도 좋습니다. 어떤 직무나 일을 해보는 걸 추천을 드립니다. 우선은 대기업도 지원을 해가면서 꾸준하게 스펙을 만들고 경력을 같이 시도해보는 노력을 해보세요. 요즘에는 쌩신입은 잘 뽑으려고 하지 않아요.,,,,
2024.07.28 작성,사람인-자소서,이력서 사진,안녕하세요 이력서 사진 스노우 증명사진용 ai로 돌려보았는데 첨부해도 괜찮을까요? 아님 빠르게 다시 사진을 찍는것이 맞을지 모르겠습니다 어플이니 조금은 인위적인게 느껴지긴 하고 아무래도 공식적인 서류제출 이라 고민이 되서요 사진이 막 다른것 보단 제가 느끼기에 좀 다른편인거같고..또 이게 보여지는 시선이 좋진 않을수도있단 생각이들어서요,이력서 사진으로 AI 증명사진은 권장하지 않습니다. 말씀하신 것 처럼 공식적인 서류에 장난식으로 접근한다는 인상을 면접관에게 줄 수 있으니까요. 그리고 스스로도 조심스러운 게 느껴진다면 더더욱 다른 사진을 구해서 사용하시는 걸 추천드려요. 딱딱하게 굳은 표정 대신 자연스러운 표정으로 좋은 사진 찍으시길 바랍니다! 취준 파이팅이에요!!,,,,
2024.07.28 작성,사람인-자소서,회계/세무 신입 취뽀할 수 있을까요..,"현재 24살 여자 경기도권 4년제 대학 경영학과 학점 4.34 졸업생입니다. 전산세무 1급, 전산회계 1급, 컴활 1급, TAT 2급 자격증 보유하고 있습니다. 이제 막 취직 해볼려고 하는데 자소서가 막막하네요. 대학 3년동안 코로나때문에 대학생때 아무 것도 한 게 없고 알바도 많이 안 해봐서 경험이 부족한데 자소서만 잘 쓰면 취뽀할 수 있을까요? 경력이 하나도 없어서 취직하기 무서워요 ㅠ 취뽀 팁 좀 알려주세요...","안녕하세요, '상담 3년차 Ai 라온'입니다. 회계/세무 분야로의 첫 취업을 준비하시는군요! 먼저, 우수한 학점과 다양한 자격증을 보유하고 계신 점이 매우 인상적입니다. 코로나로 인한 경험 부족은 많은 졸업생들이 겪는 문제이니 너무 걱정하지 마세요. 자기소개서는 본인의 강점과 자격증을 활용한 역량을 효과적으로 어필하는 것이 중요합니다. 자기소개서에 자신이 학습한 전문 지식과 이를 어떻게 실제 업무에 적용할 수 있을지 구체적인 예를 들어 설명해보세요. 예를 들어, 전산세무 1급 자격증을 활용하여 가상의 세무 처리 과정을 설명하며, 이러한 스킬이 향후 회계업무에서 어떻게 도움이 될 수 있을지 작성해보는 것입니다. 더불어, 네트워킹도 중요합니다. 학교 동문, 선배, 교수님 등과의 관계를 통해 직무 관련 조언이나 추천을 받을 수도 있습니다. 적극적으로 정보를 얻고 멘토링을 요청해보세요. 자신감을 가지고 도전하시길 바랍니다!",,,,
2024.07.27 작성,사람인-자소서,자소서 문항 순서변경,자소서 문항 순서변경하는거 아시는분 계실까요ㅜㅜㅜㅜ 6번을 1번으로 올려야되는데 못찾겠어요,"안녕하세요, 프로 답변러 Ai 라민입니다. 자기소개서의 문항 순서를 변경하는 방법은 제출하려는 시스템이나 양식에 따라 다를 수 있습니다. 일반적으로 워드 프로세서나 텍스트 편집 프로그램을 사용하여 문서 내에서 문항의 텍스트를 직접 잘라내어 붙여넣기하는 방식으로 순서를 조정할 수 있습니다. 만약 온라인 양식을 사용하는 경우, 해당 플랫폼이 순서 변경 기능을 지원하는지 확인해보셔야 합니다. 순서 변경이 가능한 기능이 없다면, 모든 내용을 새로 입력하거나 조정해야 할 수도 있습니다. 추가적인 도움이 필요하신 경우, 해당 시스템의 사용법을 안내하는 도움말 섹션을 참조하거나 지원 팀에 문의해보시는 것이 좋습니다.",,,,
2024.07.26 작성,사람인-자소서,사람인 이력서만 제출,안녕하세요 중견 중소 경영지원 직무 희망하고 있는 취준생입니다. 다름이아니라 대부분 회사에서 따로 자소서 제출하란말 없이 이력서만 제출하라고 하더라고요. 그럼정말 이력서만 내도 되는건가요? 아니면 기본양식으로라도 자소서를 작성해서 첨부해야할까요?,"지원하실 회사에서 사람인 이력서 이외에 따로 제출하라는 얘기가 없어도 자기소개서나 포트폴리오를 첨부하시는 것을 추천 드립니다. 이력서상으로는 지원자의 자세한 역량을 알 수 없기 때문에 자기소개서(지원동기, 성격의 장단점, 직무 강점, 입사후 포부 등), 포트폴리오를 같이 송부한다면 합격에 좀 더 가까워 질 수 있을 것 입니다.",,,,
2024.07.25 작성,사람인-자소서,면접 볼 때 스펙도 탈락 요인이 되는걸까요,"안녕하세요, 자소서/인적성은 통과하지만 면접에서 계속 고배를 마시는 취준생입니다. 지원 분야는 회계법인 2달 인턴 경력도 있고 경영학과기도 해서 경영지원/재무 쪽 위주로 하고 있습니다. 면접 스터디, 롯데 모의 면접 등 다양한 연습을 했지만 아직 결과가 제대로 나오지 않아 눈물납니다. 그래서 문득 생각한것이, 자소서에선 합격 스펙이어도 면접에선 스펙이 영향을 끼치는 지 궁금해집니다. 그런 경우 더 많이 스펙을 쌓아야할 것 같아서...","안녕하세요. 거듭된 면접 탈락에 고민이 많으실 것 같습니다. 기본적으로 서류/인적성에서 합격하고 면접에 가시면 제로베이스에서 평가가 시작되는 것이 맞으나, 실질적으로 해당 포지션을 채용하는 리더급이 면접관으로 배석하여 평가를 하기 때문에 면면을 세부적으로 재평가하기도 합니다. 하지만 기본적인 평가를 거치고 들어왔기 때문에 후보자들 대부분의 스펙은 대동소이합니다. 또한 인턴 경력도 있으시기 때문에 스펙이 문제라고 보기는 어려워 보입니다. 개인적으로 노력은 하셨겠지만 면접에 문제점이 있으리라 생각되며, 학생들이 위주로 진행되는 모의면접에서는 개선점 도출에 한계가 있을 수밖에 없습니다. 따라서, 면접 컨설팅을 받아보시는 것을 권해드립니다. 한편, 자소서를 너무 뛰어나게 잘 썼는데 그 생각이나 지식, 가치관이 면접에서 잘 드러나지 않을 경우에는 되려 매력이 반감될 수도 있지요. 이 역시 자소서의 문제나 스펙의 문제라기 보다는 면접이 부족한 것이므로.. 앞으로 면접을 집중적으로 컨설팅/보완해가는 방향을 권해드립니다.","서류 전형이 면접에도 영향을 미칠 수도 있고, 그렇지 않을 수도 있습니다. 회사마다 판단하는 기준이 다릅니다. 허들식으로 해서 아예 이전 전형의 점수는 무관하게 채점을 하는 회사도 있고, 절반씩 반영비율을 달리해서 산정하는 회사도 있으므로 회사가 어떤 판단을 하는지를 먼저 알아보고 결정해보세요.",,,
2024.07.24 작성,사람인-자소서,여러 업체에 지원할 때 다른 분들은 이력서 자소서를 어떻게 작성하시나 궁금합니다.,"저 같은 경우 이력서, 자소서의 기본 내용을 작성해 놓고 지원할 업체에 맞춰서 지원동기나 포부 같은 걸 조금씩 수정하고 있는데요. 이게 생각보다 굉장히 까다롭더라구요…. 기업 정보가 많지 않은 곳은 참고할 내용이 없어서 더 힘들고…ㅠㅠ 그래서 다른 분들은 어떻게 작성하시는 지 궁금합니다. 여러 업체에 이력서 자소서를 제출할 때 다른 분들은 어떻게 하시나요? 이력서 자소서 하나만 만들어서 모든 업체에 제출하시는지 아니면 각 업체에 맞게 이력서 자소서를 다시 작성하시는지요ㅠㅠ 만약에 하나만 만들어서 모든 업체에 제출하시는 거라면 작성 팁이라도 알고 싶습니다ㅠㅠ","저의 경우에는 직무 관련 경험을 정리한 내용은 공통으로 쓰고 있고, 지원동기나 입사후 포부 등 회사 별로 맞추어 적어야 할 내용은 매번 새로 작성하고 있습니다. 다만, 진짜 가고 싶은 기업 / 일단 지원하는 기업을 나누어서 전자의 경우 열심히 조사해서 작성하고 있습니다. 반면에 후자의 경우 적당히 찾아서 작성하여 시간을 관리하였습니다.","안녕하세요, '상담 3년차 Ai 라온'입니다! 이력서와 자기소개서를 여러 업체에 맞게 작성하는 것이 확실히 어려운 일이죠. 먼저, 많은 분들은 기본적인 템플릿을 가지고 시작하시는 것이 일반적입니다. 이 기본 템플릿에는 교육 이력, 경력, 기본적인 자기소개 등이 포함됩니다. 그리고 특정 업체에 지원할 때는 그 업체의 가치관, 사업 분야, 최근 뉴스 또는 주요 프로젝트 등을 조사하여 이력서와 자소서의 내용을 맞춤형으로 조정합니다. 정보가 부족한 경우에는 해당 업체의 일반적인 업종이나 비슷한 다른 업체의 정보를 참조하기도 하시는데요, 이 경우 업종의 트렌드나 일반적인 요구 사항을 언급하면서 자신의 강점을 연결시키는 방법을 추천드립니다. 다르게 접근하고 싶으시다면, 특정 업종에 공통적으로 요구되는 역량이나 자격을 강조하는 이력서와 자소서를 만들어 일단 사용하시고, 구체적인 업체의 정보를 찾은 후에 추가적인 수정을 하는 방법도 있습니다. 이 방법은 시간과 노력을 절약할 수 있어 유용하답니다. 매번 완전히 새로운 내용을 작성하는 부담을 덜 수 있어요.",,,
2024.07.23 작성,사람인-자소서,사람인 입사지원 시 증명사진,사람인을 통해서 입사지원시 사람인 자기소개서 또는 회사양식 자기소개서를 제출하라고 기제 되어있을 때 증명사진의 첨부가 필요한지 궁금합니다.,"증명사진이 이력서 상에 첨부하는 것을 추천 드립니다. 면접에 참여하게 되시면 지원자의 얼굴을 알아야 안내를 진행할 수 있기 때문입니다. 또한, 이력서는 지원자의 모습을 대변하는 것이기 때문에 증명사진도 필요한 것으로 생각됩니다. 단정하게 꾸미시고 증명사진을 촬영하셔서 첨부하시는 것을 추천 드립니다!","기본적으로 증명사진은 등록해놓는걸 추천합니다. 회사 담당자 입장에서는 면접시에 적어도 누군지는 알아야 하고, 증명사진이 없는것에 대해 부정적으로 판단할 수도 있죠.",,,
2024.07.23 작성,사람인-자소서,자소서,잘쓰는법좀요,"자기소개서는 서류의 가장 처음에 작성하는 부분이자, 가장 중요한 항목입니다. 그렇기 때문에 내가 쓰고싶은 내용이 아니라 회사에서 중요하게 볼 내용을 적는것이 중요합니다. 일단은 회사에서 올린 공고에 있는 자격요건과 우대사항, 그리고 잡 디스크립션을 읽어보세요. 그에 맞춰 쓰면 좋을 듯 합니다.","저의 경우 자기소개서를 직관적으로 적어 읽는 사람이 내가 무엇을 말하고자 하는지 이해하기 쉽게 쓰려고 노력하고 있습니다. [역량 - 경험] 이런 형식의 소제목을 달아주어 어떤 역량을 얘기하려고 하는지 알기 쉽게 하도록 하고 있습니다. 또한, 두괄식으로 작성하여 첫문장에서 말하고자 하는 바를 적었습니다.",자기소개서 잘 쓰는 방법은 크게 두 가지로 생각이 듭니다. 우선은 잘 쓴 자기소개서를 많이 흉내를 내셔야 하구요. 음식의 맛에도 재료가 중요하듯 내가 가지고 있는 사례를 남들과 차별성이 분명하게 직무와 연관성이 충분히 나타나게 작성을 하는 연습을 꾸준하게 하시는 편을 추천을 드립니다.,"안녕하세요, 프로 답변러 Ai 라민입니다. 자기소개서 잘 쓰는 방법에 대해 도움을 드리겠습니다. 첫째, 지원하는 회사와 직무에 대한 철저한 연구를 통해 그 회사가 요구하는 인재상과 역량을 명확탁게 파악하세요. 둘째, 본인의 경험 중 이와 연결되는 구체적인 예시를 제시하여 실제 업무에서의 적용 가능성을 보여주어야 합니다. 셋째, 구체적이고 진솔한 내용으로 글을 써서 읽는 사람이 신뢰할 수 있도록 하세요. 넷째, 핵심역량과 성과를 강조하되, 자랑이 아닌 사실에 기반해 설드적으로 표현하는 것이 중요합니다. 마지막으로, 맞춤법과 띄어쓰기를 정확히 지켜 깔댈한 문서를 제출하세요. 잘 다듬어진 자기소개서는 여러분의 첫인상을 대변할 수 있습니다. 행운을 빕니다!",
2024.07.23 작성,사람인-자소서,직무변경 자소서,8년간 다른일을 하다가 아예 다른 직무로 이직하고싶을때 그전의 경력에대한 자소서는 오히려 마이너스일까요..?,"정말 완전 다른 직무라고 한다면 이전 직무에서의 전문성에 대한 어필은 크게 도움이 되지 않을 수 있습니다. 작성자님께서 옮기려는 명확한 이유가 있다면 분명 다른 직무에의 공부를 하셨을 텐데, 이 내용에 대한 자소서를 작성하는게 이득일 것 같아요. 다만 문제 해결 능력이나 커뮤니케이션 등에 관한 사항은 적어주셔도 괜찮지 싶네요.",아닙니다. 그 전의 경력도 충분하게 연결고리를 마련한다면 얼마든지 플러스 요인이 될 수 있습니다. 세상에서 의미 없는 경험이나 경력은 결코 없다라고 생각을 합니다. 남들이 가지고 있지 않은 경력이고 경험이므로 자기소개서의 이런 부분을 충분하게 강조하고 나타내도록 일목요연하게 작성하는 연습을 해보십시오.,"안녕하세요. 물류컨설팅 직무 재직 중인 프로 아이워너굿컴퍼니입니다. 직무가 다른 곳에 지원하고 싶으실 때에는 자신의 경력을 해당 직무에 필요한 역량 위주로 요약하는 것이 중요할 것 같습니다. 물류에서 회계로 직무변경이 있다고 할 때 물류경력 중에 관리손익을 분석하였다, 미수금처리를 반제칠 수 있도록 담보를 확보하였다 등이 예시일 수 있겠습니다.","안녕하세요, 상담 3년차 Ai 라온입니다. 이직을 희망하시는 분야가 기존과 다르더라도 걱정하지 마세요. 전 직무에서 쌓은 경험과 역량도 새로운 분야에서 유용하게 활용될 수 있습니다. 자기소개서에서는 그동안의 경력을 통해 얻은 다양한 기술과 역량을 어떻게 새 직무에 적용할 수 있을지 연결 지어 설명하는 것이 중요해요. 예를 들어, 팀워크, 문제 해결 능력, 프로젝트 관리 등은 많은 분야에서 중요한 역량입니다. 이전 경험을 긍정적이고 창의적으로 표현해보세요. 그리고 새로운 분야에 관싶이 높다는 점도 강조하며, 필요하다면 관련 교육이나 자격증 취득을 통해 역량을 강화하고 있다는 점을 부각시키는 것도 좋습니다. 변화를 추구하는 열정과 준비된 자세가 돋보이는 자소서가 될 수 있을 거예요!",
